RegionName,Median Price 2009,Inflated Median Price 2009,Median Price 2019,Percent Change,Outcome
95602,295950.0,352683.615,480500.0,0.36241089623627687,0
95608,240650.0,286782.605,399300.0,0.39234386269697225,0
95610,190100.0,226542.16999999998,359850.0,0.5884459833681298,0
95620,259300.0,309007.81,438150.0,0.41792532687118816,0
95624,233100.0,277785.27,429550.0,0.5463382921635836,0
95628,241000.0,287199.7,431400.0,0.5020907055265029,0
95630,358900.0,427701.13,544800.0,0.2737866743536544,0
95648,268450.0,319911.865,470650.0,0.47118644692968803,0
95660,97400.0,116071.58,259700.0,1.23741246565266,1
95661,311750.0,371512.475,512800.0,0.38030358199950093,0
95662,214350.0,255440.895,386600.0,0.5134616561690328,0
95667,249400.0,297209.98,395050.0,0.3291949348403443,0
95670,170050.0,202648.585,340000.0,0.677781268494917,0
95673,133850.0,159509.04499999998,303100.0,0.9002057218761483,1
95678,223900.0,266821.63,387000.0,0.45040715027488587,0
95687,219400.0,261458.98,428250.0,0.6379242357634838,0
95688,270550.0,322414.435,495150.0,0.5357563007375895,0
95691,234450.0,279394.065,396050.0,0.4175319006865804,0
95695,194600.0,231904.82,377150.0,0.6263137609645197,0
95746,527350.0,628442.995,810350.0,0.289456651513794,0
95747,304350.0,362693.895,485850.0,0.3395593548658986,0
95765,297850.0,354947.845,520800.0,0.4672578164265233,0
95776,246450.0,293694.46499999997,442600.0,0.507008312192741,0
95818,350450.0,417631.265,545000.0,0.30497892680520455,0
95819,368850.0,439558.545,605200.0,0.3768359343349815,0
95820,72650.0,86577.005,269700.0,2.115145875050771,1
95821,181550.0,216353.135,343500.0,0.587682101301652,0
95824,69400.0,82703.98,233050.0,1.8178813159898717,1
95826,175200.0,208785.84,330850.0,0.5846381153051375,0
95829,214350.0,255440.895,407400.0,0.59488949488687,0
95834,197550.0,235420.335,365600.0,0.552966951644173,0
95835,221900.0,264438.23,386900.0,0.4631016097785862,0
95842,129350.0,154146.395,273500.0,0.7742873584555774,0
95843,195600.0,233096.52,349350.0,0.4987353736555141,0
95901,138300.0,164812.11,263750.0,0.600307161894839,0
95949,318550.0,379616.035,420850.0,0.10862018776419713,0
95961,155350.0,185130.595,309450.0,0.6715227431748922,0
96001,209350.0,249482.395,293550.0,0.17663613097830014,0
96002,189600.0,225946.32,268150.0,0.18678631278438168,0
96003,216600.0,258122.22,292050.0,0.13144075701812885,0
96022,181400.0,216174.38,268150.0,0.2404337646302027,0
96150,307900.0,366924.43,454650.0,0.23908348103177543,0
96161,469950.0,560039.415,641250.0,0.14500869550404763,0
