OBJECTID,zipcode,Rank,Neighborho,IRS_Ratio,HH_Size,Per_White,Per_Colleg,Rent,Index_Scor,IRS_Rati_1,IRS_Rati_2,HH_Incom_2,HH_Size_20,HH_Size_21,Percent_Wh,Percent__1,College_Pe,College__1,Gross_Rent,Gross_Re_1,MedInc4,HHChangAdj,Population,Populati_1,Populati_2,Evaluated
47,90057,31,Westlake,-38.126,-3.448,-0.778,4.082,25.599,0.409782845,11.254,6.964,26940,2.9,2.8,5.52,4.74,12.72,16.8,694,872,27132.46072,-0.709337505308,43986,45747,4,Yes
48,90059,47,Watts/Green Meadows,-44.213,6.931,0.247,1.752,30.783,0.377354799,18.051,10.07,33678,4.04,4.32,0.71,0.96,5.03,6.78,687,899,30452.53027,10.5917954975,38123,42470,11.4,Yes
49,90061,66,Broadway-Manchester/Vermont Vista/Green Meadows/Harbor Gateway,-33.233,-2.584,0.269,1.585,40.922,0.344652908,11.754,7.848,34566,3.87,3.77,0.8,1.07,5.89,7.47,791,1114,36361.29173,-4.93737060644,24503,28641,16.9,Yes
50,90062,58,Exposition Park/Vermont Square,-52.422,4.532,-0.947,-0.313,23.216,0.357305682,11.971,5.696,32067,3.31,3.46,2.05,1.1,6.97,6.66,822,1013,36982.68777,-13.2918618586,29279,32675,11.6,Yes
51,90063,34,Boyle Heights,-50.67,-5.634,0.02,1.939,26.079,0.398718955,11.082,5.467,39206,4.26,4.02,1.01,1.03,3.6,5.54,804,1014,41482.30998,-5.48742338866,55666,54353,-2.4,Yes
52,90064,42,Sawtelle/West LA/Cheviot Hills/Rancho Park,-3.672,8.072,-3.512,12.381,36.737,0.385750485,0.177,0.171,86573,2.23,2.41,64.05,60.54,50.55,62.94,1236,1690,82380.34271,5.08939044446,24489,25788,5.3,Yes
53,90065,19,Glassell Park/Cypress Park/Mt Washington,-35.66,-6.97,3.471,6.413,29.055,0.462,1.266,0.815,52794,3.3,3.07,15.7,19.17,21.09,27.5,865,1116,52613.82267,0.342452459936,47524,46254,-2.7,Yes
54,90066,36,Mar Vista/Del Rey/Playa Vista,-21.672,1.695,0.647,12.384,33.726,0.392235428,0.39,0.306,68346,2.36,2.4,45.58,46.23,37.84,50.22,1072,1434,61987.00453,10.2585945525,55194,58337,5.7,Yes
55,90067,107,Century City,7.871,1.258,-4.565,13.367,-9.361,0.21846303,0.041,0.044,89500,1.59,1.61,86.16,81.6,46.37,59.74,2207,2000,102874.0391,-13.0004024504,2524,2364,-6.3,Yes
56,90068,60,Hollywood Hills,1.967,2.299,-4.039,9.933,28.314,0.35704049,0.238,0.243,73373,1.74,1.78,76.06,72.02,54.94,64.87,1125,1443,72711.5853,0.909641424088,21713,21943,1.1,Yes
57,90069,55,Hollywood Hills West,-4.871,5.333,-9.734,9.839,27.17,0.363640167,0.207,0.197,78607,1.5,1.58,82.68,72.95,52.79,62.63,1235,1570,70408.84555,11.6436427639,20395,20426,0.2,Yes
58,90077,111,Bel Air,21.945,2.429,-1.88,3.738,-3.531,0.140502073,0.054,0.066,172443,2.47,2.53,83.84,81.96,70.81,74.55,2073,2000,194567.07379,-11.370923846,10465,8328,-20.4,Yes
59,90094,95,Playa Vista/Playa del Rey,-17.259,0,0,0,0,0.2643746,0.118,0.098,96010,0,2.02,0,44.52,0,80.47,0,2000,0,0,0,6062,0,Yes
60,90210,110,Beverly Crest,47.208,4.858,-2.47,3.883,11.305,0.173520052,0.073,0.108,138750,2.47,2.59,84.82,82.35,55.46,59.35,1797,2000,154760.60844,-10.3454028783,21396,21478,0.4,Yes
61,90230,44,Del Rey/Playa Vista,-17.091,0,-1.107,9.39,31.168,0.380003573,0.373,0.31,73786,2.46,2.46,39.36,38.25,38.9,48.29,1167,1531,70491.33175,4.67386296756,31945,33090,3.6,Yes
62,90247,70,Harbor Gateway,-24.572,-1.365,-3.363,7.704,14.718,0.339079969,2.072,1.563,42968,2.93,2.89,9.38,6.01,14.67,22.37,962,1104,48255.80177,-10.957857037,47741,47374,-0.8,Yes
63,90248,85,Harbor Gateway,-15.192,-4.348,-4.092,3.297,20.945,0.306987784,0.783,0.664,51956,2.99,2.86,13.34,9.25,20.11,23.41,938,1134,59286.95625,-12.3652093373,9944,9936,-0.1,Yes
64,90272,90,Pacific Palisades,-8.97,3.265,-3.414,6.524,-13.971,0.282932316,0.061,0.055,157938,2.45,2.53,88.54,85.12,70.27,76.79,2325,2000,168927.61329,-6.50551622436,22538,23497,4.3,Yes
65,90290,0,Mostly not LA (Topanga),3.043,16.735,-7.305,-2.799,19.965,0,0.209,0.215,106750,2.45,2.86,89.9,82.6,60.98,58.18,1635,1961,121888.48297,-12.4199453477,0,0,0,No
66,90291,9,Venice,-34.441,-3.03,6.583,14.551,47.363,0.539,0.423,0.278,81025,1.98,1.92,60.52,67.1,46.83,61.38,1166,1718,62921.84813,28.7708521094,31018,27803,-10.4,Yes
67,90292,84,Del Rey/Venice,-12.967,7.273,-6.384,7.982,0.885,0.307552413,0.131,0.114,103319,1.65,1.77,80.03,73.65,60.26,68.24,1982,2000,99279.01555,4.06932364067,18057,21507,19.1,Yes
68,90293,101,Playa Del Rey,-2.589,1.099,-13.593,1.166,29.695,0.253025,0.13,0.127,84588,1.82,1.84,73.51,59.91,59.68,60.85,1362,1767,91319.09725,-7.37096341587,11252,11997,6.6,Yes
69,90402,83,Pacific Palisades (also Santa Monica),-10.77,-5.628,-5.187,3.935,37.658,0.311337191,0.073,0.065,131607,2.31,2.18,88.35,83.16,70.47,74.4,1343,1849,162983.10781,-19.2511409505,11492,11503,0.1,Yes
70,90501,38,Harbor Gateway,-19.009,0.342,-9.303,9.51,27.134,0.389403327,0.728,0.59,59878,2.92,2.93,33.11,23.81,20.45,29.96,954,1213,57901.18809,3.41411286229,40697,43407,6.7,Yes
71,90502,74,Harbor Gateway,-15.758,-2.397,-9.205,10.494,12.752,0.326947165,0.638,0.538,62533,2.92,2.85,26.95,17.74,22.31,32.8,1207,1361,66815.19677,-6.40901617747,17038,17135,0.6,Yes
72,90710,81,Harbor City,-2.553,1.014,-6.533,5.84,19.87,0.318021238,0.78,0.76,54630,2.96,2.99,26.22,19.68,19.52,25.36,883,1058,58151.39623,-6.05556608834,24640,27550,11.8,Yes
73,90731,71,San Pedro,-9.47,2.281,-5.171,3.953,19.46,0.333621156,0.97,0.878,49786,2.63,2.69,36.71,31.53,17.48,21.43,942,1125,49367.9907,0.846721314911,58622,62348,6.4,Yes
74,90732,99,San Pedro,10.368,-3.347,-9.098,0.738,26.916,0.254646011,0.151,0.167,84537,2.39,2.31,66.01,56.91,35.79,36.53,1331,1689,87454.61878,-3.33615173298,21264,19810,-6.8,Yes
75,90744,73,Wilmington,-21.383,8.158,-2.342,0.439,28.139,0.327920144,3.142,2.47,41578,3.8,4.11,6.89,4.54,6.08,6.52,796,1020,41599.16543,-0.0508794582324,53308,58061,8.9,Yes
76,91040,79,Shadow Hills/Sunland,-0.453,2.672,-6.68,5.285,21.161,0.32112171,0.39,0.388,70830,2.62,2.69,68.42,61.74,22.99,28.28,975,1181,71342.31438,-0.718107317449,18748,20017,6.8,Yes
77,91042,76,Tujunga,-13.842,4.833,-2.809,2.36,25.838,0.323330061,0.756,0.651,57640,2.69,2.82,60.41,57.61,22.3,24.66,911,1147,58952.88714,-2.2270107601,26738,28126,5.2,Yes
78,91303,40,Canoga Park,-24.875,-3.859,-3.752,8.016,24.147,0.387606963,2.115,1.589,46187,3.11,2.99,24.96,21.21,15.98,24,994,1234,50548.91813,-8.62910284011,23508,27827,18.4,Yes
79,91304,96,West Hills/Canoga Park,1.571,6.485,-11.734,3.649,19.598,0.260517098,0.631,0.641,58361,2.93,3.12,46.38,34.65,25.21,28.85,1001,1197,66060.44804,-11.6551556467,49226,53517,8.7,Yes
80,91306,98,Winnetka,-9.703,6.27,-12.163,0.507,19.365,0.257260568,0.989,0.893,60959,3.19,3.39,37.61,25.45,22.58,23.09,965,1152,67451.71528,-9.62572301245,43846,48707,11.1,Yes
81,91307,91,West Hills,-1.012,2.431,-7.898,5.923,7.125,0.281285559,0.179,0.177,98655,2.88,2.95,70.64,62.74,38.73,44.65,1867,2000,101831.96344,-3.11980966749,23622,25597,8.4,Yes
82,91311,103,Chatsworth,16.232,5.747,-14.403,6.31,15.808,0.248665727,0.262,0.304,80279,2.61,2.76,65.51,51.11,34.46,40.77,1224,1417,85606.9279,-6.22371113028,35317,37769,6.9,Yes
83,91316,82,Encino,8.501,4.63,-5.543,10.251,22.069,0.312115725,0.305,0.331,62016,2.16,2.26,76.84,71.3,41.24,51.49,1192,1455,67543.82487,-8.184056619,27595,28190,2.2,Yes
84,91324,89,Northridge,-0.96,3.46,-9.11,3.882,33.719,0.294926345,0.572,0.566,58993,2.89,2.99,45.51,36.4,31.92,35.8,1046,1399,68684.88397,-14.1106505679,25731,29178,13.4,Yes
85,91325,105,Northridge/Lake Balboa,3.545,4.545,-11.07,1.396,24.082,0.246629736,0.497,0.515,57883,2.64,2.76,51.81,40.74,36.38,37.78,1052,1305,67164.38835,-13.8189129359,32300,32823,1.6,Yes
86,91326,87,Porter Ranch/Chatsworth,14.536,2.778,-11.255,4.308,54.741,0.301880468,0.136,0.156,98831,2.88,2.96,60.21,48.96,49.85,54.16,1155,1787,113157.3187,-12.6605321375,28049,36024,28.4,Yes
87,91331,39,Pacoima/Arleta,-41.951,1.101,-2.58,2.293,42.606,0.389150288,5.713,3.316,51345,4.54,4.59,6.88,4.3,6.02,8.31,906,1292,53925.35325,-4.78504654024,97300,102367,5.2,Yes
88,91335,86,Reseda/Tarzana,-18.602,8.852,-9.137,3.136,25.836,0.30520815,1.649,1.342,51398,3.05,3.32,39.12,29.98,19.63,22.77,962,1211,56079.61784,-8.34816288042,68002,77952,14.6,Yes
89,91342,68,Lake View Terrace,-21.963,1.892,-8.114,4.292,28.539,0.341840752,1.307,1.02,60899,3.7,3.77,22.15,14.03,12.79,17.09,1021,1313,67011.78888,-9.12196045228,81970,91701,11.9,Yes
90,91343,69,North Hills/Northridge,-13.501,5.797,-6.942,4.583,33.659,0.340536908,1.229,1.063,55238,3.45,3.65,27.52,20.58,19.1,23.69,872,1165,57446.13922,-3.84384268461,57001,61976,8.7,Yes
91,91344,94,Granada Hills,2.058,4.73,-9.658,2.406,22.665,0.265810788,0.329,0.336,77247,2.96,3.1,55.94,46.28,32.92,35.33,1254,1538,89287.18719,-13.4847872006,48863,53165,8.8,Yes
92,91345,92,Mission Hills,-9.908,2.402,-7.262,3.995,8.942,0.272582157,0.975,0.878,60148,3.33,3.41,27.24,19.98,16.01,20,1213,1321,72317.02631,-16.827332277,17102,18196,6.4,Yes
93,91352,50,Shadow Hills/Sun Valley,-23.168,-4.359,-2.883,3.788,28.733,0.375729519,2.503,1.923,49088,3.9,3.73,21.31,18.43,10.44,14.23,902,1161,56808.24594,-13.5900093591,46624,46874,0.5,Yes
94,91356,97,Tarzana,16.684,7.787,-5.558,3.719,13.858,0.257395231,0.308,0.359,69148,2.44,2.63,72.88,67.33,42.07,45.79,1094,1246,70690.6734,-2.1822870342,27407,29847,8.9,Yes
95,91364,108,Woodland Hills,13.332,3.252,-9.578,0.723,12.526,0.216495186,0.16,0.182,93919,2.46,2.54,80.12,70.54,51.54,52.26,1609,1810,109175.98478,-13.9746710879,25985,26975,3.8,Yes
96,91367,100,Woodland Hills,23.684,4.783,-11.086,7.211,19.038,0.254493646,0.182,0.226,77152,2.3,2.41,77.84,66.75,45.29,52.5,1475,1756,84350.38812,-8.53391226814,36106,42029,16.4,Yes
97,91401,54,Valley Glen/Van Nuys/Sherman Oaks,-20.33,-1.449,1.305,5.463,27.971,0.366995549,1.248,0.994,48994,2.76,2.72,40.76,42.07,25.71,31.17,920,1177,48670.98231,0.663676126244,40372,40503,0.3,Yes
98,91402,75,Panorama City,-28.188,2.66,-3.01,2.128,26.253,0.324217164,4.51,3.239,39009,3.76,3.86,11.62,8.61,14.2,16.32,843,1064,44674.52592,-12.6817818507,66241,70781,6.9,Yes
99,91403,72,Encino/Sherman Oaks,6.351,5.556,-2.233,8.252,21.984,0.328417845,0.214,0.227,75334,1.98,2.09,77,74.76,50.89,59.15,1281,1563,73682.17292,2.24182731662,22079,24353,10.3,Yes
100,91405,62,Van Nuys,-26.01,4.531,2.723,4.063,24.876,0.352985865,3.634,2.688,38162,3.09,3.23,23.65,26.37,15.81,19.87,859,1073,40771.55389,-6.40042784987,51344,53406,4,Yes
101,91406,63,Van Nuys/Lake Balboa,-20.195,4.124,-3.317,3.986,21.051,0.350838641,1.485,1.185,50381,2.91,3.03,32.78,29.46,19.01,23,933,1130,51111.19906,-1.42864787645,50041,53528,7,Yes
102,91411,49,Van Nuys/Sherman Oaks,-17.436,-2.622,2.227,10.164,26.392,0.375914831,1.386,1.145,43758,2.67,2.6,33.74,35.97,20.77,30.94,917,1159,47107.86882,-7.11106000741,23641,24146,2.1,Yes
103,91423,77,Sherman Oaks,11.167,8.122,-5.982,10.726,21.557,0.32303091,0.246,0.273,75671,1.97,2.13,76.49,70.51,46.06,56.79,1221,1484,72398.13774,4.52064426264,29370,32130,9.4,Yes
104,91436,93,Encino,7.08,-1.569,-2.914,7.104,15.457,0.267151132,0.07,0.074,128060,2.55,2.51,87.23,84.32,56.77,63.87,1732,2000,141122.89004,-9.25639351369,13109,14563,11.1,Yes
105,91504,88,Shadow Hills/Sun Valley,-11.579,0.749,-1.086,6.304,24.653,0.300411189,0.405,0.358,71296,2.67,2.69,55.02,53.93,30.53,36.83,1071,1335,76730.03801,-7.08202178825,25872,25544,-1.3,Yes
106,91601,12,North Hollywood/Valley Village/Toluca Lake,-36.369,-6.024,5.214,13.077,37.175,0.525,1.905,1.212,47202,2.49,2.34,34.03,39.25,22.77,35.84,916,1256,43540.34067,8.40980863644,36616,38781,5.9,Yes
