 ZCTA5,Median Income 2000,Inflation Adjusted 2000,Median Income 2014,percent change,gentrified,autocustomization,autopartssupplies,barbers,barreclasses,bars,beergardens,bespoke,bikes,blowoutservices,bodyshops,bootcamps,breakfast_brunch,breweries,cafes,cannabis_clinics,cannabisdispensaries,carshares,cocktailbars,coffee,coffeeroasteries,cyclingclasses,divebars,dog_parks,doulas,empanadas,foodbanks,galleries,hairstylists,healthmarkets,homelessshelters,intlgrocery,juicebars,kombucha,mexican,movietheaters,musicvenues,organic_stores,paintandsip,pawn,pets,pubs,skate_parks,tattoo,thrift_stores
78734,74052.00,101799.14,92904.00,-0.09,N,0,0,2,3,1,1,3,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,2,0,9,6,1,0,0,6,2,0,0,0,2,0,0,2,0,0,0,2
78735,75204.00,103382.79,81152.00,-0.22,N,0,0,4,3,2,0,0,0,0,1,0,2,1,1,1,0,0,2,0,0,2,0,0,0,0,1,9,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,2,1
78736,62294.00,85635.44,86439.00,0.01,N,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
78737,87029.00,119638.59,122886.00,0.03,N,0,0,0,2,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
78738,102295.00,140624.73,127683.00,-0.09,N,0,0,1,0,5,1,1,0,0,1,3,2,0,4,0,0,0,5,1,0,0,1,0,0,3,1,6,10,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0,2
78739,102707.00,141191.11,130199.00,-0.08,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
78741,25369.00,34874.71,31192.00,-0.11,N,0,0,3,1,3,0,4,0,0,0,0,0,0,0,0,1,0,5,0,2,0,0,0,0,2,0,1,0,0,0,0,29,5,0,0,2,0,0,1,2,0,0,1,0
78742,28281.00,38877.83,35700.00,-0.08,N,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78744,38256.00,52590.45,41331.00,-0.21,N,2,0,5,6,1,0,0,0,0,0,0,8,0,1,1,0,0,0,0,1,0,1,0,1,1,0,2,2,1,0,0,19,0,0,0,1,0,0,2,0,0,0,1,0
78745,43458.00,59741.63,52949.00,-0.11,N,2,0,13,13,14,0,3,0,1,1,0,13,1,0,5,0,0,11,0,0,0,0,0,0,1,1,11,19,0,3,0,40,2,0,0,6,1,0,4,6,0,0,3,0
78746,100571.00,138254.75,128556.00,-0.07,N,0,0,0,0,5,3,0,0,0,0,0,0,0,5,1,3,0,11,0,0,0,0,0,0,3,0,8,13,3,5,0,8,2,0,0,0,6,0,0,1,0,0,1,0
78747,60861.00,83665.50,62243.00,-0.26,N,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78748,57710.00,79333.82,68835.00,-0.13,N,4,0,4,0,5,1,7,0,0,0,1,3,3,0,0,0,0,6,0,3,2,0,0,0,0,0,10,6,0,1,0,13,3,0,1,1,0,0,3,1,0,0,1,0
78749,68244.00,93814.89,84954.00,-0.09,N,0,0,1,1,0,1,0,0,0,0,0,0,1,4,1,0,0,6,0,0,0,0,0,0,2,0,5,9,3,1,0,6,0,0,0,0,3,0,0,0,0,0,0,0
78750,78428.00,107814.82,73659.00,-0.32,N,0,0,4,3,5,0,0,0,0,0,0,5,0,5,0,1,0,4,0,0,1,1,0,0,0,2,6,18,1,2,0,12,0,0,2,2,1,0,3,3,0,0,2,0
78751,29779.00,40937.13,41279.00,0.01,N,0,0,3,2,3,0,4,0,0,4,0,0,3,4,0,0,0,5,0,0,1,0,2,0,5,0,9,1,0,2,0,9,0,0,0,1,2,0,4,0,4,1,9,1
78752,30207.00,41525.50,37396.00,-0.10,N,0,0,4,2,4,0,2,0,0,2,0,5,1,0,1,2,0,4,0,0,0,0,0,0,1,0,6,1,0,1,0,15,1,0,0,3,0,0,0,1,0,0,0,0
78753,38206.00,52521.71,39228.00,-0.25,N,4,0,13,15,3,0,3,0,0,0,0,21,0,0,0,0,0,3,0,3,1,0,0,0,0,0,4,4,2,6,0,37,0,0,0,4,0,0,1,1,2,0,0,0
78754,51810.00,71223.10,53040.00,-0.26,N,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
78756,36978.00,50833.58,63750.00,0.25,Y,0,0,2,1,3,1,0,0,0,0,0,0,0,5,0,3,0,7,0,0,1,0,0,0,3,0,6,7,2,1,0,10,0,0,0,0,3,0,6,6,0,2,4,2
78757,45090.00,61985.13,60856.00,-0.02,N,0,0,4,2,15,0,6,0,0,2,4,3,1,6,0,0,0,7,0,2,2,0,1,0,5,0,10,25,0,4,0,17,0,0,1,2,0,0,7,2,0,0,5,0
78758,42398.00,58284.45,44476.00,-0.24,N,0,0,19,20,5,1,8,0,2,1,3,20,2,3,5,0,0,9,0,2,2,0,1,0,2,0,9,10,2,3,0,19,1,0,1,1,4,0,2,1,0,1,2,2
78759,61284.00,84246.99,70095.00,-0.17,N,0,0,3,3,2,0,2,0,0,3,0,2,1,6,2,4,0,5,0,0,0,0,0,0,2,0,6,10,3,4,0,14,0,0,0,3,0,0,2,1,0,0,0,0
97034,84192.00,115738.57,104020.00,-0.10,N,0,1,0,0,0,2,1,0,0,0,0,0,0,0,2,8,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,3,0
97035,62089.00,85353.62,73330.00,-0.14,N,0,2,4,0,0,0,0,3,2,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,3
97080,56742.00,78003.11,63032.00,-0.19,N,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97201,42569.00,58519.52,44393.00,-0.24,N,0,0,3,0,0,4,0,1,7,0,6,1,0,0,1,27,0,0,1,0,0,0,2,0,2,0,0,2,0,14,0,5,0,2,0,4,0,0,0,0,5,1,0,0
97202,39879.00,54821.58,55606.00,0.01,N,0,3,12,0,0,9,4,2,13,3,6,8,0,0,2,32,0,0,8,0,2,0,11,0,3,0,0,5,3,18,0,4,0,1,0,13,0,0,2,0,11,0,10,3
97203,35266.00,48480.10,42912.00,-0.11,N,0,0,7,0,0,2,1,0,5,0,3,3,0,0,0,12,0,0,3,0,0,0,5,1,0,0,0,0,1,8,0,0,0,0,1,8,0,0,1,0,1,0,2,0
97204,10465.00,14386.21,13576.00,-0.06,N,0,0,11,0,0,1,0,2,2,0,5,0,3,0,6,36,0,0,5,0,0,0,12,0,2,0,0,3,0,11,0,5,0,0,1,4,0,0,0,0,4,5,0,1
97205,18158.00,24961.77,29782.00,0.19,Y,0,0,15,0,2,1,0,0,4,0,2,0,0,0,5,31,1,0,3,0,0,0,2,0,0,0,0,3,0,8,1,3,0,0,0,3,0,0,0,0,0,1,3,0
97206,38040.00,52293.51,52414.00,0.00,N,0,0,12,1,0,5,3,0,10,0,6,5,3,0,0,21,0,0,5,3,3,0,2,0,2,0,0,2,0,24,0,3,0,0,2,4,1,0,5,0,0,0,5,1
97209,22185.00,30497.68,42936.00,0.41,Y,0,3,19,0,0,7,1,4,11,5,9,2,2,0,8,38,0,3,7,0,2,0,37,0,2,0,0,2,0,16,1,6,0,0,0,13,0,2,1,0,0,3,8,6
