zip,percent_change_house,percent_change_income,percent_change_rent,index_change,percent_change_public_tranp,percent_change_population,percent_change_white,outcome
93721,0.43052109200000005,-0.06,0.449,0.32,-0.278688525,-0.077,-0.133,1
92223,0.823834197,0.89,1.188,1.29,-0.111111111,1.6369999999999998,-0.081,0
93444,0.668797954,0.22,0.875,0.88,1.0,0.272,0.08199999999999999,0
94607,1.1910466579999999,0.62,0.894,1.5,0.0,0.18,1.2570000000000001,0
95688,0.6957345970000001,0.32,0.757,0.25,1.0,0.1,-0.084,0
90807,1.075809199,0.43,0.691,0.34,0.294117647,0.069,-0.193,0
92105,1.085171103,0.44,0.7090000000000001,0.93,-0.23595505600000002,-0.023,0.617,0
93219,0.57201087,0.03,0.677,0.37,1.166666667,0.11599999999999999,2.517,1
94010,0.11197709300000001,0.44,0.435,0.57,0.793650794,0.047,-0.10300000000000001,1
95993,0.634726225,0.36,0.659,0.38,1.125,0.29,-0.057,0
95367,0.46872393700000003,0.32,0.564,0.67,0.25,0.456,0.162,0
93923,0.41886971700000003,0.46,0.605,0.4,0.0,-0.012,0.003,0
93241,0.159279778,0.27,0.645,0.37,1.333333333,0.204,0.7759999999999999,1
95002,0.7764656259999999,0.26,0.282,2.48,-0.542857143,-0.22,0.5539999999999999,0
93451,1.1738437,0.38,1.137,0.53,0.0,0.5720000000000001,-0.009000000000000001,0
91377,0.738350295,0.31,0.35200000000000004,0.45,-0.666666667,-0.02,-0.07,1
95338,0.649061849,0.38,0.87,0.28,0.384615385,0.084,-0.033,0
94572,0.558808682,0.14,0.467,0.36,0.090909091,0.13699999999999998,-0.047,1
93662,0.683995923,0.23,0.5770000000000001,0.2,-0.5,0.171,0.341,0
95401,0.474347435,0.07,0.47600000000000003,0.02,-0.13636363599999998,0.069,0.057999999999999996,1
90808,1.1633347509999998,0.52,0.596,0.41,0.384615385,0.065,-0.099,0
95928,1.124385102,0.5,0.504,0.6,0.384615385,0.099,0.038,0
94121,0.78369453,0.14,0.547,0.43,0.025723472999999997,-0.01,-0.049,1
95003,0.517529603,0.22,0.484,0.22,-0.066666667,0.006999999999999999,0.002,0
95315,0.28952381,0.11,0.632,0.11,-0.8888888890000001,0.221,0.073,1
90601,0.956989247,0.34,0.708,0.29,1.058823529,0.066,-0.067,0
93550,0.45811789,0.03,0.684,-0.05,0.3125,0.10400000000000001,-0.313,1
91010,1.092244418,0.19,0.627,0.57,0.24242424199999998,-0.059000000000000004,0.042,0
95376,0.064516129,0.01,0.599,0.06,0.21052631600000002,-0.292,-0.021,1
91505,1.3483535530000001,0.5,0.833,0.67,1.0,0.065,-0.037000000000000005,0
91789,1.210755814,0.26,0.7090000000000001,0.45,0.19047619,-0.039,-0.17,0
