zip,Median House Value 2000,Median House Value 2014,% Change in House Value,Median Income 2000,Median Income 2014,% Change in Income,Median Rent 2000,Median Rent 2014,% Change in Rent,Outcome
91604,457700.0,838100.0,0.8311120821498799,60299.0,90528.0,0.5,919.0,1675.0,0.823,
92091,457700.0,956200.0,1.0891413589687569,103904.0,94318.0,-0.09,2001.0,2001.0,0.0,
95073,453900.0,603400.0,0.3293677021370346,57034.0,80133.0,0.41,1007.0,1430.0,0.42,
94704,453600.0,723600.0,0.5952380952380952,19750.0,30997.0,0.57,732.0,1338.0,0.828,
90036,452600.0,970700.0,1.1447193990278393,47746.0,71049.0,0.49,1043.0,1818.0,0.743,
90064,452200.0,904800.0,1.0008845643520565,59923.0,86573.0,0.44,899.0,1690.0,0.88,
94937,452000.0,916700.0,1.0280973451327433,48036.0,51921.0,0.08,989.0,1562.0,0.579,
94037,451900.0,770500.0,0.705023235229033,93859.0,147568.0,0.57,1473.0,1646.0,0.117,
95066,451700.0,645500.0,0.4290458268762453,74159.0,108919.0,0.47,1138.0,1670.0,0.467,
90277,446000.0,838800.0,0.8807174887892377,68263.0,99398.0,0.46,1060.0,1762.0,0.662,
91361,444200.0,769400.0,0.7321026564610535,86646.0,103306.0,0.19,1198.0,1908.0,0.593,
94020,444100.0,730500.0,0.6448997973429408,89150.0,92356.0,0.04,831.0,1539.0,0.852,
95130,444000.0,714200.0,0.6085585585585586,73502.0,98990.0,0.35,1105.0,1380.0,0.249,
91207,442400.0,818200.0,0.8494575045207957,62347.0,88929.0,0.43,796.0,1426.0,0.791,
94043,441500.0,675100.0,0.5291053227633069,68721.0,100844.0,0.47,1208.0,1689.0,0.398,
94610,441400.0,690300.0,0.5638876302673312,49066.0,73850.0,0.51,794.0,1263.0,0.591,
95008,440700.0,674600.0,0.5307465395960971,68106.0,88987.0,0.31,1175.0,1528.0,0.3,
95065,440000.0,657200.0,0.49363636363636365,58490.0,86031.0,0.47,1040.0,1756.0,0.688,
94102,439600.0,579300.0,0.3177888989990901,22351.0,24127.0,0.08,564.0,872.0,0.546,
92106,439100.0,838100.0,0.9086768389888408,62121.0,81973.0,0.32,778.0,1600.0,1.057,
94903,439100.0,627100.0,0.4281484855386017,70758.0,86196.0,0.22,1217.0,1726.0,0.418,
93111,434200.0,740300.0,0.7049746660525104,68087.0,94933.0,0.39,1119.0,1898.0,0.696,
94949,433600.0,543800.0,0.25415129151291516,63838.0,74009.0,0.16,1244.0,1717.0,0.38,
90401,432600.0,680400.0,0.5728155339805825,36461.0,60802.0,0.67,720.0,1552.0,1.156,
94923,432500.0,658400.0,0.5223121387283237,57045.0,77305.0,0.36,850.0,636.0,-0.252,
90803,432400.0,693400.0,0.6036077705827937,60513.0,72025.0,0.19,826.0,1357.0,0.643,
90035,432300.0,859000.0,0.9870460328475595,50014.0,75327.0,0.51,975.0,1679.0,0.722,
94973,430900.0,684500.0,0.5885356231144117,60833.0,88750.0,0.46,994.0,1242.0,0.249,
95003,430700.0,653600.0,0.5175296029719062,68760.0,83902.0,0.22,1173.0,1741.0,0.484,
95060,429900.0,670900.0,0.5605954873226332,54082.0,62365.0,0.15,936.0,1522.0,0.626,
90056,429700.0,749500.0,0.7442401675587619,72193.0,76688.0,0.06,856.0,1462.0,0.708,
94951,429500.0,781300.0,0.8190919674039581,62528.0,93389.0,0.49,749.0,1287.0,0.718,
95124,429100.0,690900.0,0.6101141924959217,79008.0,106660.0,0.35,1207.0,1578.0,0.307,
94552,428100.0,672100.0,0.5699602896519504,105393.0,132826.0,0.26,1204.0,2001.0,0.662,
94930,428100.0,705500.0,0.6479794440551273,60971.0,93049.0,0.53,1108.0,1564.0,0.412,
93460,427800.0,746800.0,0.7456755493221131,68682.0,91737.0,0.34,988.0,1737.0,0.758,
94583,427700.0,659000.0,0.5407996259060088,95588.0,121948.0,0.28,1387.0,1720.0,0.24,
94598,426100.0,746400.0,0.7517014785261675,85479.0,121337.0,0.42,1246.0,1770.0,0.421,
95134,425200.0,168900.0,-0.6027751646284102,82072.0,114757.0,0.4,1516.0,2001.0,0.32,
92679,424700.0,739400.0,0.7409936425712268,112998.0,149538.0,0.32,1301.0,1956.0,0.503,
90027,423900.0,801700.0,0.8912479358339231,31820.0,50316.0,0.58,647.0,1219.0,0.884,
95126,423800.0,587200.0,0.3855592260500236,50113.0,72877.0,0.45,1001.0,1432.0,0.431,
94963,423100.0,897700.0,1.1217206334199952,58333.0,79485.0,0.36,805.0,2001.0,1.486,
93908,421100.0,600500.0,0.42602707195440515,85488.0,113826.0,0.33,927.0,1756.0,0.894,
93013,420100.0,603200.0,0.43584860747441084,52052.0,68884.0,0.32,956.0,1444.0,0.51,
94086,420100.0,688000.0,0.6377053082599381,71056.0,100215.0,0.41,1278.0,1648.0,0.29,
93950,417400.0,673900.0,0.6145184475323431,50263.0,70230.0,0.4,960.0,1447.0,0.507,
95043,416700.0,363000.0,-0.128869690424766,40469.0,62500.0,0.54,538.0,1134.0,1.108,
95117,415000.0,639500.0,0.5409638554216868,57626.0,67718.0,0.18,1112.0,1493.0,0.343,
94060,411500.0,750000.0,0.8226002430133658,59006.0,60089.0,0.02,921.0,954.0,0.036,
94586,411200.0,794800.0,0.9328793774319066,81923.0,85000.0,0.04,1330.0,1427.0,0.073,
92648,411100.0,759300.0,0.8469958647531014,64156.0,85857.0,0.34,957.0,1571.0,0.642,
92210,410000.0,613400.0,0.49609756097560975,95126.0,83269.0,-0.12,670.0,797.0,0.19,
94122,410000.0,797400.0,0.9448780487804878,60733.0,86070.0,0.42,1071.0,1714.0,0.6,
94588,408200.0,664100.0,0.6268985791278785,92644.0,127684.0,0.38,1364.0,1856.0,0.361,
94132,408100.0,747100.0,0.8306787552070571,55000.0,66607.0,0.21,1126.0,1822.0,0.618,
93463,405600.0,746600.0,0.8407297830374754,52149.0,66771.0,0.28,858.0,1460.0,0.702,
90025,404400.0,680300.0,0.6822453016815034,47806.0,71278.0,0.49,958.0,1609.0,0.68,
93441,402400.0,825300.0,1.0509443339960238,61339.0,95625.0,0.56,936.0,1306.0,0.395,
93940,402100.0,631800.0,0.5712509326038299,50274.0,67716.0,0.35,895.0,1437.0,0.606,
95051,402000.0,642400.0,0.5980099502487563,73147.0,101292.0,0.38,1293.0,1720.0,0.33,
92887,401900.0,696200.0,0.732271709380443,103926.0,126984.0,0.22,1278.0,1817.0,0.422,
95128,401500.0,586300.0,0.4602739726027397,55869.0,70096.0,0.25,1049.0,1382.0,0.317,
95010,398400.0,488700.0,0.22665662650602408,46171.0,55833.0,0.21,963.0,1604.0,0.666,
94945,397100.0,627100.0,0.5791991941576429,65938.0,83638.0,0.27,1022.0,1661.0,0.625,
