,zip,Index Change,Percent_Change_House,Percent_Change_Rent,Percent_Change_Public_Transp,Percent_Change_Population,Percent_Change_White,Outcome
132,94118,0.55,0.294919877,0.569679849,0.018000000000000002,0.029867228,0.01,0
133,91741,0.44,0.565674256,0.8095794390000001,0.006,0.02847759,-0.059,0
134,95966,0.54,0.665030675,0.81,-0.001,0.089819515,-0.03,0
135,90034,0.7,0.641371557,0.7330037079999999,0.019,0.013213285,0.147,0
136,93703,0.19,0.335849057,0.6802443990000001,-0.004,0.094776694,-0.024,0
137,91776,0.59,0.54665687,0.6769437,-0.012,-0.017196045,-0.112,0
138,95901,0.7,0.7813953490000001,0.799582463,0.002,-0.139997899,0.021,0
139,95623,0.41,0.208306295,0.57037037,0.011,0.053955078,-0.002,0
140,93702,0.31,0.39010989,0.663113006,-0.033,-0.003062691,0.056,0
141,94038,-0.64,0.230450972,0.019217082,0.09,0.122182293,-0.119,0
142,90810,0.93,0.4128,0.7314662270000001,-0.002,0.030838735,0.179,0
143,91304,0.28,0.441257584,0.644230769,0.016,0.08716938199999999,-0.116,0
144,94587,0.42,0.437739989,0.3868011,0.02,0.078516936,-0.08800000000000001,0
145,92020,0.17,0.454239569,0.640834575,-0.004,0.054988601,0.001,0
146,93108,0.31,0.08486984800000001,0.579321231,0.004,-0.04852006,-0.028,0
147,94306,0.31,0.539707625,0.525356577,0.029,0.106600229,-0.14800000000000002,0
148,91321,0.18,0.425748885,0.5630841120000001,-0.009000000000000001,0.125264425,-0.013,0
149,93449,0.26,0.3607021520000001,0.849704142,0.017,-0.090282644,0.006999999999999999,1
150,93921,0.0,0.356819326,0.441777778,0.008,0.067836652,-0.064,0
151,96130,-0.2,0.5971802620000001,0.573630137,0.01,0.127978181,-0.103,0
152,90058,-0.18,2.2008,0.757493188,-0.157,-0.241721854,0.046,0
153,93110,0.3,0.351202405,0.556382979,0.023,0.099676211,-0.07,0
154,94801,0.34,0.491992883,0.562111801,-0.025,0.029257657000000006,0.173,0
155,91770,0.69,0.638997651,0.613259669,-0.022,0.024575927,-0.044,0
156,95363,0.48,0.45907173,1.308988764,-0.001,0.6798892390000001,0.162,1
157,90404,0.95,0.758977149,0.954794521,-0.009000000000000001,0.084435759,0.08900000000000001,1
158,95816,0.6,0.518934081,0.658040665,-0.018000000000000002,0.042582163,0.006999999999999999,0
159,95206,0.23,0.359739049,1.153846154,-0.013,0.315716329,0.083,1
