zip,Average Education Index 2000,Average Education Index 2014,Index Change,Median Cost for House 2000,Median Cost for House 2014,Change in Cost for House,Median Income 2000,Median Income 2014,Income Change,Median Rent 2000,Median Rent 2014,Rent Change,Take Public Transp % in 2000,Take Public Transp % in 2014,Take Public Transp % Change,Total Population % in 2000,Total Population % in 2014,Total Population % Change,White Population % in 2000,White Population % in 2014,White Population % Change,Outcome
94965,15.57,15.69,0.11999999999999922,2410.0,3519.0,1109.0,76808.0,89715.0,12907.0,1453.0,1815.0,362.0,0.18100000000000002,0.161,-0.020000000000000018,11206.0,11114.0,-92.0,0.789,0.782,-0.007000000000000006,
94960,15.57,15.87,0.29999999999999893,2479.0,3721.0,1242.0,76627.0,108295.0,31668.0,1084.0,1543.0,459.0,0.09699999999999999,0.106,0.009000000000000008,16846.0,15999.0,-847.0,0.924,0.885,-0.039000000000000035,
90293,15.55,15.5,-0.05000000000000071,2736.0,2911.0,175.0,66425.0,84588.0,18163.0,991.0,1767.0,776.0,0.009000000000000001,0.013999999999999999,0.0049999999999999975,11252.0,11997.0,745.0,0.795,0.691,-0.10400000000000009,
91105,15.55,16.19,0.6400000000000006,2567.0,3409.0,842.0,83737.0,108882.0,25145.0,1017.0,1958.0,941.0,0.01,0.046,0.036,10245.0,11373.0,1128.0,0.802,0.6990000000000001,-0.10299999999999998,
90265,15.54,15.58,0.040000000000000924,3681.0,4001.0,320.0,100857.0,124814.0,23957.0,1638.0,2001.0,363.0,0.004,0.005,0.001,19614.0,17660.0,-1954.0,0.894,0.861,-0.03300000000000003,
94970,15.53,16.47,0.9399999999999995,2214.0,2931.0,717.0,88184.0,107768.0,19584.0,1220.0,2001.0,781.0,0.026000000000000002,0.02,-0.006000000000000002,772.0,495.0,-277.0,0.951,0.99,0.039000000000000035,
94598,15.5,15.87,0.3699999999999992,2146.0,3190.0,1044.0,85479.0,121337.0,35858.0,1246.0,1770.0,524.0,0.145,0.16699999999999998,0.021999999999999992,26011.0,26974.0,963.0,0.825,0.795,-0.029999999999999916,
90403,15.49,16.2,0.7099999999999991,2745.0,3341.0,596.0,54964.0,72366.0,17402.0,888.0,1699.0,811.0,0.027999999999999997,0.045,0.017,23556.0,25116.0,1560.0,0.865,0.847,-0.018000000000000016,
90292,15.46,15.94,0.47999999999999865,2348.0,3619.0,1271.0,72215.0,103319.0,31104.0,1442.0,2001.0,559.0,0.013000000000000001,0.011000000000000001,-0.002,18057.0,21507.0,3450.0,0.833,0.8009999999999999,-0.03200000000000003,
94925,15.46,15.51,0.049999999999998934,2501.0,3763.0,1262.0,77455.0,113279.0,35824.0,1311.0,1721.0,410.0,0.09300000000000001,0.1,0.006999999999999992,9019.0,9478.0,459.0,0.877,0.8240000000000001,-0.052999999999999936,
94117,15.45,15.95,0.5,3012.0,3765.0,753.0,63983.0,103333.0,39350.0,1056.0,1773.0,717.0,0.35600000000000004,0.371,0.014999999999999958,38738.0,42638.0,3900.0,0.727,0.743,0.016000000000000014,
94131,15.45,15.96,0.5100000000000016,2253.0,3164.0,911.0,76044.0,100114.0,24070.0,1123.0,1858.0,735.0,0.256,0.299,0.04299999999999998,27897.0,28370.0,473.0,0.693,0.6709999999999999,-0.02200000000000002,
90275,15.45,15.89,0.4400000000000013,2522.0,3287.0,765.0,95643.0,120742.0,25099.0,1500.0,2001.0,501.0,0.01,0.013000000000000001,0.003000000000000001,41261.0,42420.0,1159.0,0.6729999999999999,0.618,-0.05499999999999994,
