zip,Average Education Index 2000,Median Income 2000,Inflated Median Income 2000,Median Rent 2000,Inflated Median Rent 2000,Take Public Transp % in 2000,Total Population % in 2000,White Population % in 2000
91367,14.67,61356.0,85855.57,1073.0,2457.1741364,0.011000000000000001,36106.0,0.8220000000000001
93950,14.66,50263.0,70333.11,960.0,2024.7898493,0.017,15436.0,0.8809999999999999
94946,14.66,76194.0,106618.41,950.0,1967.4184714,0.031,589.0,0.8490000000000001
92835,14.66,66607.0,93203.3,997.0,1942.2310372,0.017,21144.0,0.792
92673,14.65,92073.0,128837.92,1142.0,2800.0031019,0.006,15280.0,0.898
94566,14.65,90107.0,126086.9,1101.0,2292.0565122,0.048,36664.0,0.8370000000000001
93711,14.65,56927.0,79658.06,680.0,1507.0481463,0.004,36269.0,0.792
95831,14.64,57329.0,80220.58,802.0,1582.6104489,0.028999999999999998,42821.0,0.489
92688,14.63,74173.0,103790.42,1118.0,2363.4209091,0.01,42181.0,0.797
91602,14.63,47989.0,67151.1,817.0,2012.1961322,0.021,16978.0,0.779
95066,14.63,74159.0,103770.83,1138.0,2336.834173,0.018000000000000002,14561.0,0.8909999999999999
94555,14.63,84442.0,118159.85,1273.0,2529.9378352,0.054000000000000006,33863.0,0.321
90048,14.61,47185.0,66026.06,983.0,2371.8167205,0.036000000000000004,21724.0,0.86
90046,14.6,37398.0,52331.09,773.0,1963.2205657,0.052000000000000005,49831.0,0.858
92107,14.59,42660.0,59694.22,768.0,1847.078508,0.025,27956.0,0.8809999999999999
90035,14.54,50014.0,69984.69,975.0,2349.4278901,0.039,27792.0,0.72
92629,14.54,64622.0,90425.69,1143.0,2578.9134017,0.025,27728.0,0.8690000000000001
96145,14.54,54545.0,76324.92,885.0,1875.064546,0.002,3997.0,0.956
90401,14.53,36461.0,51019.95,720.0,2171.7165488,0.044000000000000004,5201.0,0.7859999999999999
95134,14.52,82072.0,114843.51,1516.0,2800.0031019,0.036000000000000004,9643.0,0.5329999999999999
92649,14.52,70779.0,99041.19,1004.0,2348.0285882,0.012,32292.0,0.852
96141,14.51,75863.0,106155.24,725.0,1708.5476199,0.025,840.0,0.973
90505,14.51,60737.0,84989.4,989.0,2146.5291146,0.008,34855.0,0.659
95816,14.5,35282.0,49370.17,541.0,1255.1738043,0.063,16157.0,0.7829999999999999
92120,14.5,57461.0,80405.29,886.0,2007.9982264999999,0.012,25553.0,0.852
92354,14.5,39086.0,54693.11,668.0,1536.4334862,0.024,18062.0,0.5329999999999999
94938,14.49,60769.0,85034.18,973.0,2369.0181167,0.051,813.0,0.882
94523,14.49,67824.0,94906.25,989.0,2104.5500576,0.113,32671.0,0.8190000000000001
91355,14.48,76024.0,106380.53,1095.0,2429.1880984,0.02,24970.0,0.863
95054,14.48,85124.0,119114.17,1489.0,2800.0031019,0.02,13013.0,0.382
94109,14.47,43444.0,60791.27,843.0,1996.8038113,0.36200000000000004,56322.0,0.615
94038,14.47,82777.0,115830.01,1405.0,2003.8003208,0.017,3061.0,0.8079999999999999
93401,14.47,37176.0,52020.45,715.0,1714.1448275,0.024,27034.0,0.865
90245,14.47,61341.0,85834.58,882.0,2175.9144545,0.012,16033.0,0.836
91101,14.46,38187.0,53435.14,744.0,1922.6408106,0.038,16809.0,0.539
90278,14.45,69614.0,97411.0,943.0,2307.4488331,0.015,37316.0,0.7509999999999999
91915,14.45,76346.0,106831.1,1202.0,2800.0031019,0.006,9270.0,0.486
95060,14.44,54082.0,75677.05,936.0,2129.7374918,0.062,43172.0,0.799
93012,14.44,69939.0,97865.78,1164.0,2570.5175903,0.006,24928.0,0.863
95018,14.43,60270.0,84335.93,909.0,1581.211147,0.033,8720.0,0.862
94542,14.43,69014.0,96571.42,1111.0,2031.7863588,0.055999999999999994,11145.0,0.54
92648,14.42,64156.0,89773.61,957.0,2198.3032849,0.008,42645.0,0.821
90503,14.42,58127.0,81337.22,915.0,2076.5640196,0.011000000000000001,41970.0,0.574
90045,14.42,56566.0,79152.91,864.0,2364.820211,0.03,39315.0,0.614
95065,14.41,58490.0,81845.17,1040.0,2457.1741364,0.022000000000000002,8346.0,0.85
90815,14.41,61074.0,85460.96,962.0,2195.5046811,0.018000000000000002,38892.0,0.755
92064,14.41,71385.0,99889.17,909.0,2065.3696044,0.01,47957.0,0.8290000000000001
90814,14.4,41808.0,58502.01,694.0,1656.7734496,0.036000000000000004,19014.0,0.674
90703,14.4,72906.0,102017.5,1257.0,2746.8296297,0.013000000000000001,51542.0,0.26899999999999996
91765,14.4,69848.0,97738.44,1007.0,2534.1357409,0.025,46520.0,0.418
94132,14.4,55000.0,76961.6,1126.0,2549.5280618,0.256,26291.0,0.419
92119,14.39,55973.0,78323.13,831.0,1985.6093961,0.025,21850.0,0.866
94949,14.39,63838.0,89328.63,1244.0,2402.6013623,0.085,13360.0,0.825
