zip,Average Education Index 2014,Median Income 2014,Median Rent 2014,Take Public Transp % in 2014,Total Population % in 2014,White Population % in 2014
94523,15.03,81685.0,1504.0,0.138,34428.0,0.7609999999999999
91355,14.61,89596.0,1736.0,0.02,33635.0,0.7559999999999999
95054,15.68,116855.0,2001.0,0.025,23914.0,0.289
94109,15.18,63173.0,1427.0,0.374,54768.0,0.5920000000000001
94038,13.83,81622.0,1432.0,0.107,3435.0,0.6890000000000001
93401,15.0,52906.0,1225.0,0.017,27920.0,0.845
90245,14.81,84004.0,1555.0,0.015,16839.0,0.8240000000000001
91101,15.28,58365.0,1374.0,0.071,21098.0,0.593
90278,15.07,104934.0,1649.0,0.015,40839.0,0.713
91915,14.51,99606.0,2001.0,0.005,27290.0,0.644
95060,14.86,62365.0,1522.0,0.055999999999999994,47148.0,0.8079999999999999
93012,15.05,93523.0,1837.0,0.01,35366.0,0.774
95018,14.63,72161.0,1130.0,0.019,7660.0,0.9209999999999999
94542,14.39,80327.0,1452.0,0.081,12498.0,0.436
92648,14.67,85857.0,1571.0,0.01,46623.0,0.7929999999999999
90503,14.82,77047.0,1484.0,0.019,45518.0,0.484
90045,15.11,78082.0,1690.0,0.021,41453.0,0.616
95065,14.8,86031.0,1756.0,0.034,8331.0,0.868
90815,14.74,79525.0,1569.0,0.026000000000000002,40572.0,0.7340000000000001
92064,14.73,96297.0,1476.0,0.011000000000000001,49079.0,0.773
90814,14.95,55111.0,1184.0,0.045,18789.0,0.7659999999999999
90703,14.71,90613.0,1963.0,0.026000000000000002,50069.0,0.235
91765,14.63,90966.0,1811.0,0.027999999999999997,47562.0,0.34
94132,14.36,66607.0,1822.0,0.29,31926.0,0.382
92119,14.94,70261.0,1419.0,0.027000000000000003,23926.0,0.838
94949,14.96,74009.0,1717.0,0.087,16386.0,0.77
95628,14.47,72739.0,1109.0,0.033,40767.0,0.872
92886,14.93,110054.0,1648.0,0.012,48649.0,0.764
94005,14.51,80233.0,1482.0,0.114,4421.0,0.523
95758,14.06,70003.0,1439.0,0.033,62099.0,0.45799999999999996
93402,14.54,57241.0,1310.0,0.001,14880.0,0.857
95051,15.23,101292.0,1720.0,0.034,54406.0,0.431
95006,14.47,75510.0,1434.0,0.004,9162.0,0.924
91006,14.74,84021.0,1521.0,0.038,32392.0,0.35600000000000004
95005,14.65,69872.0,1340.0,0.006999999999999999,6615.0,0.912
91107,14.93,84761.0,1396.0,0.046,31828.0,0.62
95722,14.48,76389.0,1527.0,0.017,4524.0,0.937
94951,14.26,93389.0,1287.0,0.024,4812.0,0.8109999999999999
90720,14.89,95631.0,1600.0,0.023,22325.0,0.75
93110,14.63,75915.0,1463.0,0.045,17321.0,0.757
93311,14.23,87720.0,1370.0,0.004,44358.0,0.6729999999999999
91320,14.8,106365.0,1918.0,0.017,44958.0,0.77
93111,14.66,94933.0,1898.0,0.022000000000000002,17554.0,0.7709999999999999
91214,14.94,89849.0,1602.0,0.008,31078.0,0.6409999999999999
92691,14.45,93713.0,1907.0,0.019,48129.0,0.816
93449,14.57,67500.0,1563.0,0.021,7789.0,0.9209999999999999
92646,14.68,87110.0,1802.0,0.004,55505.0,0.805
90291,15.26,81025.0,1718.0,0.044000000000000004,27803.0,0.8
91316,14.92,62016.0,1455.0,0.035,28190.0,0.809
