zip,Average Education Index 2000,Median Cost for House 2000,Median Income 2000,Median Rent 2000,Take Public Transp % in 2000,Total Population % in 2000,White Population % in 2000
92352,14.29,1462.0,60829.0,740.0,0.013000000000000001,9792.0,0.904
92110,14.28,1622.0,40642.0,788.0,0.04,24149.0,0.81
95008,14.27,2006.0,68106.0,1175.0,0.02,44970.0,0.727
95010,14.27,1665.0,46171.0,963.0,0.012,9657.0,0.851
95405,14.27,1500.0,56945.0,957.0,0.013000000000000001,22247.0,0.884
91356,14.27,2433.0,51420.0,796.0,0.042,27407.0,0.789
92029,14.27,1921.0,63581.0,826.0,0.013999999999999999,17929.0,0.825
91902,14.27,1992.0,70955.0,957.0,0.004,17379.0,0.693
92270,14.26,1812.0,63349.0,657.0,0.008,12452.0,0.929
91307,14.26,1818.0,74072.0,1358.0,0.015,23622.0,0.79
94510,14.25,1683.0,65959.0,892.0,0.043,25573.0,0.7909999999999999
95073,14.25,2035.0,57034.0,1007.0,0.019,9807.0,0.868
94403,14.24,2117.0,67152.0,1210.0,0.048,37919.0,0.6829999999999999
94122,14.23,1761.0,60733.0,1071.0,0.295,55492.0,0.47200000000000003
94702,14.23,1484.0,39290.0,685.0,0.203,15629.0,0.446
92807,14.22,1804.0,76381.0,1199.0,0.009000000000000001,36283.0,0.76
94945,14.22,2043.0,65938.0,1022.0,0.06,16423.0,0.846
91913,14.22,1785.0,66968.0,1162.0,0.013000000000000001,12880.0,0.584
90740,14.21,2054.0,42067.0,1033.0,0.008,24177.0,0.888
95959,14.21,1310.0,45803.0,734.0,0.006,17267.0,0.938
95570,14.21,1123.0,33300.0,669.0,0.006999999999999999,2352.0,0.88
91007,14.21,1956.0,51255.0,834.0,0.027000000000000003,30925.0,0.466
95409,14.21,1569.0,52912.0,956.0,0.015,25706.0,0.894
94947,14.2,1931.0,66970.0,1145.0,0.084,24724.0,0.841
95472,14.2,1653.0,55766.0,805.0,0.016,31246.0,0.895
91789,14.2,1846.0,73943.0,1103.0,0.021,45106.0,0.317
95125,14.19,2249.0,68613.0,1155.0,0.036000000000000004,46184.0,0.757
93460,14.19,1939.0,68682.0,988.0,0.004,5704.0,0.855
95747,14.19,1478.0,62922.0,822.0,0.01,25410.0,0.8809999999999999
94121,14.19,2035.0,61776.0,984.0,0.311,42473.0,0.486
95219,14.19,1563.0,50396.0,697.0,0.012,19103.0,0.6609999999999999
92211,14.18,1396.0,52251.0,797.0,0.009000000000000001,19699.0,0.907
91741,14.18,1713.0,67419.0,856.0,0.013999999999999999,24967.0,0.866
90808,14.17,1576.0,63620.0,894.0,0.013000000000000001,37403.0,0.81
94710,14.17,1443.0,34951.0,634.0,0.243,8149.0,0.374
95436,14.16,1212.0,46817.0,791.0,0.004,6201.0,0.904
91360,14.16,1728.0,72033.0,1083.0,0.008,42513.0,0.845
92008,14.16,1677.0,55123.0,897.0,0.024,35562.0,0.84
92506,14.15,1450.0,62357.0,741.0,0.019,42405.0,0.763
95672,14.15,1743.0,69662.0,938.0,0.043,3803.0,0.922
95661,14.14,1502.0,58606.0,865.0,0.016,25161.0,0.885
91709,14.14,1787.0,78336.0,1035.0,0.02,66734.0,0.564
91001,14.14,1661.0,63543.0,775.0,0.03,36235.0,0.42200000000000004
90623,14.13,1709.0,69096.0,956.0,0.011000000000000001,15498.0,0.433
95521,14.13,977.0,24346.0,551.0,0.021,19585.0,0.852
95663,14.13,1670.0,60560.0,890.0,0.008,2035.0,0.9109999999999999
95131,14.13,1982.0,87486.0,1504.0,0.013999999999999999,26384.0,0.223
95130,14.13,1972.0,73502.0,1105.0,0.017,13465.0,0.669
95124,14.12,1940.0,79008.0,1207.0,0.019,45250.0,0.7979999999999999
95139,14.12,1881.0,86515.0,1500.0,0.033,7006.0,0.708
95926,14.11,1120.0,28831.0,555.0,0.018000000000000002,35803.0,0.851
95946,14.11,1324.0,50591.0,1015.0,0.01,9745.0,0.9490000000000001
92653,14.1,1662.0,46716.0,1141.0,0.013999999999999999,48266.0,0.833
94602,14.1,1670.0,55321.0,781.0,0.158,28880.0,0.451
94547,14.07,1681.0,75707.0,1082.0,0.08,22460.0,0.327
94501,14.06,1783.0,51896.0,892.0,0.159,58535.0,0.5770000000000001
95630,14.06,1665.0,73240.0,939.0,0.013999999999999999,51849.0,0.779
95608,14.05,1354.0,45693.0,643.0,0.025,58819.0,0.86
94901,14.05,2397.0,59889.0,985.0,0.136,40221.0,0.728
94044,14.05,1821.0,72288.0,1247.0,0.078,38869.0,0.691
95825,14.03,1195.0,35228.0,641.0,0.038,30708.0,0.675
90732,14.02,1823.0,63614.0,968.0,0.009000000000000001,21264.0,0.7759999999999999
91737,14.02,1781.0,73201.0,953.0,0.022000000000000002,23075.0,0.7190000000000001
91775,14.01,1698.0,56657.0,739.0,0.019,23426.0,0.47
95682,14.0,1630.0,64454.0,769.0,0.015,24721.0,0.9259999999999999
96161,14.0,1463.0,58113.0,882.0,0.003,15781.0,0.892
95136,14.0,1920.0,74908.0,1269.0,0.031,36924.0,0.561
96103,13.99,1203.0,50888.0,600.0,0.012,1837.0,0.96
94536,13.98,1856.0,70026.0,1149.0,0.057999999999999996,66533.0,0.562
95677,13.98,1457.0,54111.0,818.0,0.01,21505.0,0.8959999999999999
91941,13.98,1444.0,45916.0,719.0,0.023,44651.0,0.807
95119,13.97,1950.0,87931.0,1379.0,0.026000000000000002,10137.0,0.652
90034,13.97,1779.0,37231.0,809.0,0.078,58199.0,0.46299999999999997
92672,13.97,1869.0,57110.0,903.0,0.019,34932.0,0.871
91311,13.97,1806.0,62270.0,890.0,0.025,35317.0,0.738
92708,13.97,1678.0,69710.0,1060.0,0.008,54530.0,0.642
90232,13.97,1806.0,46121.0,826.0,0.067,15175.0,0.5710000000000001
94550,13.96,1859.0,75026.0,1034.0,0.032,75925.0,0.821
92630,13.96,1762.0,68311.0,1087.0,0.013999999999999999,59167.0,0.76
95062,13.95,1739.0,46181.0,991.0,0.037000000000000005,36620.0,0.809
93010,13.95,1696.0,63245.0,941.0,0.006,42840.0,0.784
92821,13.95,1687.0,59189.0,932.0,0.01,34041.0,0.768
91942,13.95,1322.0,42443.0,831.0,0.02,24000.0,0.833
95404,13.94,1637.0,52864.0,801.0,0.021,35056.0,0.8240000000000001
93463,13.93,1936.0,52149.0,858.0,0.011000000000000001,7942.0,0.895
94521,13.93,1603.0,64485.0,995.0,0.092,39887.0,0.755
92592,13.93,1592.0,67593.0,910.0,0.002,46167.0,0.79
95462,13.93,1298.0,38227.0,720.0,0.024,1524.0,0.9179999999999999
90807,13.93,1591.0,50543.0,712.0,0.034,31549.0,0.55
93611,13.92,1364.0,64229.0,803.0,0.003,46851.0,0.826
91750,13.92,1719.0,60366.0,834.0,0.032,35512.0,0.768
91202,13.91,2042.0,49818.0,859.0,0.027999999999999997,21971.0,0.6859999999999999
91325,13.91,1759.0,48855.0,765.0,0.035,32300.0,0.615
