,Take Public Transp % in 2000,zip
1034,0.7%,93015
1035,0.7%,95004
1036,0.7%,95460
1037,0.7%,93505
1038,0.7%,92250
1039,0.7%,92320
1040,0.7%,92382
1041,0.7%,93510
1042,0.7%,95220
1043,0.7%,95412
1044,0.7%,95570
1045,0.7%,91207
1046,0.7%,92583
1047,0.7%,93446
1048,0.7%,95453
1049,0.7%,96003
1050,0.7%,96007
1051,0.7%,96120
1052,0.7%,92399
1053,0.6%,91915
1054,0.6%,92301
1055,0.6%,92673
1056,0.6%,93012
1057,0.6%,95357
1058,0.6%,95482
1059,0.6%,95903
1060,0.6%,93219
1061,0.6%,95620
1062,0.6%,95954
1063,0.6%,93010
1064,0.6%,93526
1065,0.6%,95991
1066,0.6%,91011
1067,0.6%,91320
1068,0.6%,91377
1069,0.6%,92358
1070,0.6%,92614
1071,0.6%,95240
1072,0.6%,95650
1073,0.6%,95765
1074,0.6%,96055
1075,0.6%,92131
1076,0.6%,93265
1077,0.6%,95358
1078,0.6%,95422
1079,0.6%,95546
1080,0.6%,95959
1081,0.6%,92663
1082,0.6%,93225
1083,0.6%,92679
1084,0.6%,95421
1085,0.6%,95437
1086,0.6%,96080
1087,0.6%,93221
1088,0.6%,93441
1089,0.6%,95361
1090,0.6%,92278
1091,0.6%,96041
1092,0.6%,91302
1093,0.6%,92274
1094,0.6%,95425
1095,0.5%,92394
1096,0.5%,92602
1097,0.5%,92886
1098,0.5%,93235
1099,0.5%,95030
1100,0.5%,95321
1101,0.5%,95366
1102,0.5%,91361
1103,0.5%,96039
1104,0.5%,92014
1105,0.5%,95327
1106,0.5%,95368
1107,0.5%,95461
1108,0.5%,93615
1109,0.5%,92591
1110,0.5%,95619
1111,0.5%,92065
1112,0.5%,94924
1113,0.5%,96064
1114,0.4%,90265
1115,0.4%,93449
1116,0.4%,92315
1117,0.4%,93422
1118,0.4%,93711
1119,0.4%,95688
1120,0.4%,93215
1121,0.4%,93631
1122,0.4%,95333
1123,0.4%,95917
1124,0.4%,96056
1125,0.4%,96130
1126,0.4%,93108
1127,0.4%,93454
1128,0.4%,93460
1129,0.4%,93545
1130,0.4%,93924
1131,0.4%,95367
1132,0.4%,95379
1133,0.4%,95436
1134,0.4%,95665
1135,0.4%,95666
1136,0.4%,90266
