,white_pop_2014,zip
1113,67.1%,95937
1114,67.1%,95961
1115,67.0%,91980
1116,67.0%,91340
1117,67.0%,92835
1118,67.0%,93612
1119,66.9%,95231
1120,66.9%,93212
1121,66.9%,93657
1122,66.9%,95118
1123,66.9%,95125
1124,66.9%,93103
1125,66.9%,93305
1126,66.9%,91601
1127,66.9%,95340
1128,66.8%,91381
1129,66.7%,90640
1130,66.7%,92508
1131,66.7%,92630
1132,66.6%,95827
1133,66.6%,91204
1134,66.5%,94041
1135,66.5%,90027
1136,66.4%,95304
1137,66.4%,92231
1138,66.4%,93560
1139,66.4%,91773
1140,66.3%,94901
1141,66.2%,90713
1142,66.0%,91384
1143,65.9%,91303
1144,65.8%,91387
1145,65.8%,93437
1146,65.8%,92311
1147,65.7%,95670
1148,65.6%,94063
1149,65.6%,90036
1150,65.6%,95046
1151,65.5%,92130
1152,65.4%,90026
1153,65.4%,92249
1154,65.3%,92275
1155,65.3%,95351
1156,65.2%,91008
1157,65.2%,92869
1158,65.1%,90604
1159,65.1%,95660
1160,65.0%,93549
1161,65.0%,94403
1162,64.8%,95811
1163,64.6%,93452
1164,64.5%,95814
1165,64.5%,95843
1166,64.5%,95618
1167,64.5%,95776
1168,64.5%,93245
1169,64.4%,94546
1170,64.4%,92310
1171,64.4%,91915
1172,64.4%,95842
1173,64.3%,95691
1174,64.2%,92582
1175,64.2%,93535
1176,64.2%,92058
1177,64.1%,91214
1178,64.1%,95376
1179,64.0%,94002
1180,64.0%,93239
1181,63.9%,94520
1182,63.9%,95301
1183,63.8%,94044
1184,63.8%,91733
1185,63.8%,95227
1186,63.7%,91737
1187,63.7%,92831
1188,63.6%,93541
1189,63.6%,91311
1190,63.5%,92243
1191,63.4%,91344
1192,63.4%,95002
1193,63.4%,95605
1194,63.4%,95687
1195,63.3%,92111
1196,63.3%,95215
1197,63.3%,90822
1198,63.3%,92501
1199,63.3%,93307
1200,63.3%,92230
1201,63.3%,93301
1202,63.2%,92376
1203,63.1%,95120
1204,63.0%,95615
1205,63.0%,93501
1206,62.9%,90066
1207,62.8%,95993
1208,62.8%,92155
1209,62.7%,92057
1210,62.7%,90716
1211,62.5%,91331
1212,62.5%,94709
1213,62.5%,92309
1214,62.5%,95968
1215,62.4%,95053
1216,62.4%,90025
1217,62.4%,95941
1218,62.3%,91730
1219,62.3%,92061
1220,62.2%,94583
1221,62.1%,93563
1222,62.1%,93304
1223,62.0%,91107
1224,61.9%,96039
1225,61.9%,95064
1226,61.9%,95412
1227,61.9%,93551
1228,61.8%,90275
1229,61.8%,94115
1230,61.8%,92115
1231,61.8%,94710
1232,61.7%,93261
1233,61.7%,93625
1234,61.6%,93710
1235,61.6%,90045
1236,61.6%,92407
1237,61.5%,90620
1238,61.5%,95925
1239,61.4%,92070
1240,61.4%,93210
1241,61.3%,90631
1242,61.3%,94043
1243,61.2%,95123
1244,61.2%,96014
1245,61.1%,95616
1246,61.1%,93646
1247,61.1%,92347
1248,61.1%,95407
1249,61.1%,93654
1250,61.1%,95019
1251,61.0%,90034
1252,61.0%,93662
1253,60.9%,92134
1254,60.9%,92324
1255,60.8%,94110
1256,60.8%,90717
1257,60.8%,93534
1258,60.7%,92240
1259,60.7%,90024
1260,60.7%,92532
1261,60.6%,93313
1262,60.6%,93242
1263,60.5%,92122
1264,60.5%,91106
1265,60.5%,93723
1266,60.3%,90241
1267,60.3%,92507
1268,60.2%,90230
1269,60.2%,95646
1270,60.1%,92627
1271,60.1%,95934
1272,60.1%,92603
1273,60.1%,92604
1274,60.1%,93648
1275,60.0%,91016
1276,60.0%,92346
1277,59.9%,92832
1278,59.9%,90028
1279,59.7%,95117
1280,59.7%,94703
1281,59.7%,90804
1282,59.7%,95119
1283,59.6%,91020
1284,59.5%,92583
1285,59.5%,93528
1286,59.4%,94588
1287,59.4%,92530
1288,59.3%,95211
1289,59.3%,91101
1290,59.3%,92563
1291,59.3%,95050
1292,59.2%,92701
1293,59.2%,90670
1294,59.2%,94109
1295,59.2%,94107
1296,59.2%,91764
1297,59.1%,94592
1298,59.1%,96112
1299,59.0%,94305
1300,59.0%,94401
1301,58.9%,91950
1302,58.8%,95939
1303,58.7%,92557
1304,58.7%,95365
1305,58.7%,91945
1306,58.6%,95428
1307,58.5%,95219
1308,58.5%,92405
1309,58.5%,92503
