,Average Education Index 2014,zip
753,13.71,90755
754,13.71,93432
755,13.71,95222
756,13.71,95366
757,13.71,92322
758,13.70,92675
759,13.70,95919
760,13.70,95310
761,13.70,91748
762,13.70,95971
763,13.70,93643
764,13.70,90712
765,13.70,90746
766,13.69,91745
767,13.69,95689
768,13.69,92262
769,13.69,94587
770,13.69,95543
771,13.68,95382
772,13.68,94571
773,13.68,91730
774,13.68,95148
775,13.67,95969
776,13.67,95370
777,13.67,96117
778,13.66,92596
779,13.66,93704
780,13.66,96051
781,13.66,91724
782,13.65,96115
783,13.65,95389
784,13.64,94519
785,13.64,92867
786,13.64,95492
787,13.64,95242
788,13.64,92374
789,13.64,92019
790,13.64,95633
791,13.64,95043
792,13.64,93526
793,13.64,95688
794,13.64,90014
795,13.63,92111
796,13.63,91040
797,13.63,95503
798,13.63,95249
799,13.63,92135
800,13.62,91978
801,13.62,92278
802,13.62,92055
803,13.62,93510
804,13.62,96087
805,13.62,92590
806,13.61,95726
807,13.61,96020
808,13.61,96114
809,13.61,93022
810,13.60,94605
811,13.60,95236
812,13.60,96003
813,13.60,95713
814,13.60,95814
815,13.60,93285
816,13.60,93644
817,13.60,96093
818,13.60,95977
819,13.59,95821
820,13.59,96084
821,13.57,91791
822,13.57,95555
823,13.57,95443
824,13.55,94612
825,13.55,95459
826,13.55,95829
827,13.55,91601
828,13.55,92313
829,13.55,95321
830,13.55,94503
831,13.55,95209
832,13.55,92061
833,13.54,93602
834,13.54,95827
835,13.54,95665
836,13.54,94560
837,13.54,95377
838,13.53,93512
839,13.53,92584
840,13.53,92223
841,13.53,92325
842,13.53,94021
843,13.53,93453
844,13.53,95306
845,13.52,96107
846,13.52,93001
847,13.52,96041
848,13.52,95379
849,13.52,95501
850,13.52,93225
851,13.51,91916
852,13.51,96086
853,13.51,93933
854,13.51,95642
855,13.51,96150
856,13.51,95623
857,13.50,95045
858,13.50,96056
859,13.50,95246
860,13.50,92532
861,13.50,95982
862,13.50,96014
863,13.49,95004
864,13.48,91801
865,13.48,93546
866,13.48,96050
867,13.48,96031
868,13.48,95691
869,13.48,92398
870,13.48,95817
871,13.47,95652
872,13.47,93013
873,13.47,93601
874,13.47,95435
875,13.46,92627
876,13.46,93514
877,13.46,96017
878,13.46,95437
879,13.46,95684
880,13.45,95338
881,13.45,93710
882,13.45,93636
883,13.45,94080
884,13.45,95669
885,13.44,93226
886,13.44,95687
887,13.44,95922
888,13.44,95843
889,13.44,94558
890,13.44,94515
891,13.44,95403
892,13.44,95833
893,13.43,96011
894,13.43,94577
895,13.42,95560
896,13.42,93446
897,13.42,94928
898,13.41,92086
899,13.41,91786
900,13.41,93527
901,13.41,90620
902,13.41,90502
903,13.40,96085
904,13.40,95975
905,13.40,90601
906,13.39,93255
907,13.39,95469
908,13.39,96029
909,13.38,95355
910,13.38,93513
911,13.38,95470
912,13.38,90020
913,13.38,93103
914,13.38,95486
915,13.38,90008
916,13.38,96027
917,13.37,95659
918,13.37,96037
919,13.37,96025
920,13.37,95610
921,13.37,92268
922,13.37,90717
923,13.37,90501
924,13.36,94401
925,13.36,91792
926,13.36,95634
927,13.35,96128
928,13.35,95340
929,13.35,92040
930,13.35,90822
931,13.35,91740
932,13.35,94585
933,13.35,92057
934,13.34,92358
935,13.34,92115
936,13.33,95915
937,13.33,96002
938,13.33,92082
939,13.33,91042
940,13.33,95554
941,13.33,94512
942,13.32,91723
943,13.32,92028
944,13.32,92399
945,13.32,96006
946,13.32,92315
947,13.32,95075
948,13.32,95252
949,13.32,92587
950,13.31,95621
951,13.31,93277
952,13.31,92307
953,13.31,93675
954,13.30,91201
955,13.30,95427
956,13.30,93653
957,13.30,94572
958,13.30,92065
959,13.29,95690
960,13.29,94559
961,13.29,91203
962,13.29,92134
963,13.29,93426
964,13.28,96069
965,13.28,95233
966,13.28,95428
967,13.28,94545
968,13.28,91754
969,13.28,95220
970,13.27,95589
971,13.27,96148
972,13.27,92359
973,13.26,94607
974,13.26,95453
975,13.26,95720
976,13.26,96061
977,13.26,95551
978,13.26,95528
979,13.26,93536
980,13.25,91304
981,13.24,93244
982,13.24,91401
