,public_transportation_2014,zip
846,1.4%,95746
847,1.4%,95747
848,1.4%,96130
849,1.4%,92530
850,1.4%,92602
851,1.4%,94559
852,1.4%,94931
853,1.4%,96027
854,1.4%,91752
855,1.4%,93422
856,1.4%,90732
857,1.4%,92070
858,1.4%,93015
859,1.4%,95405
860,1.4%,91914
861,1.4%,93065
862,1.4%,92882
863,1.4%,92225
864,1.4%,93003
865,1.3%,90240
866,1.3%,95602
867,1.3%,92571
868,1.3%,92861
869,1.3%,93033
870,1.3%,95350
871,1.3%,96080
872,1.3%,90275
873,1.3%,93010
874,1.3%,95614
875,1.3%,95205
876,1.3%,95690
877,1.3%,92220
878,1.3%,93219
879,1.3%,92374
880,1.3%,95348
881,1.3%,95485
882,1.3%,95949
883,1.3%,95969
884,1.2%,92688
885,1.2%,94571
886,1.2%,95222
887,1.2%,90094
888,1.2%,93261
889,1.2%,95564
890,1.2%,90254
891,1.2%,94024
892,1.2%,96003
893,1.2%,96021
894,1.2%,92127
895,1.2%,91040
896,1.2%,92236
897,1.2%,92539
898,1.2%,95673
899,1.2%,92407
900,1.2%,92860
901,1.2%,92886
902,1.2%,95425
903,1.2%,92677
904,1.2%,92845
905,1.2%,93727
906,1.2%,93905
907,1.2%,95422
908,1.2%,96064
909,1.2%,92359
910,1.2%,92881
911,1.2%,92887
912,1.2%,93551
913,1.2%,95210
914,1.2%,91360
915,1.2%,92071
916,1.2%,92373
917,1.2%,92675
918,1.1%,92064
919,1.1%,92078
920,1.1%,92155
921,1.1%,92344
922,1.1%,92649
923,1.1%,93035
924,1.1%,94946
925,1.1%,95206
926,1.1%,95503
927,1.1%,91902
928,1.1%,92354
929,1.1%,96114
930,1.1%,92007
931,1.1%,92026
932,1.1%,92708
933,1.1%,93235
934,1.1%,93654
935,1.1%,94516
936,1.1%,95965
937,1.1%,92243
938,1.1%,93277
939,1.1%,93309
940,1.1%,93927
941,1.1%,95329
942,1.1%,95351
943,1.1%,92672
944,1.1%,93442
945,1.1%,95472
946,1.1%,95713
947,1.1%,95922
948,1.1%,95991
949,1.1%,90292
950,1.1%,92509
951,1.1%,92880
952,1.1%,93256
953,1.1%,95336
954,1.1%,90630
955,1.1%,92345
956,1.1%,95461
957,1.1%,94558
958,1.1%,95682
959,1.0%,93012
960,1.0%,93306
961,1.0%,96001
962,1.0%,92069
963,1.0%,92656
964,1.0%,95701
965,1.0%,92233
966,1.0%,95687
967,1.0%,95448
968,1.0%,92648
969,1.0%,95843
970,1.0%,95901
971,1.0%,92307
972,1.0%,92301
973,1.0%,93536
974,1.0%,93543
975,1.0%,94567
976,1.0%,95030
977,1.0%,93249
978,1.0%,93292
979,1.0%,93722
980,1.0%,95661
981,1.0%,95531
982,1.0%,95648
983,1.0%,92124
984,1.0%,92660
985,1.0%,93291
986,1.0%,95341
987,1.0%,95742
988,0.9%,92551
989,0.9%,94511
990,0.9%,94575
991,0.9%,94586
992,0.9%,96161
993,0.9%,91108
994,0.9%,92250
995,0.9%,92346
996,0.9%,92596
997,0.9%,96097
998,0.9%,93433
999,0.9%,92555
1000,0.9%,94019
1001,0.9%,92308
1002,0.9%,92618
1003,0.9%,92692
1004,0.9%,95135
1005,0.9%,92585
1006,0.9%,92399
