,house_median_value_2000,zip
757,"$184,900",91792
758,"$184,700",92506
759,"$184,600",92883
760,"$184,400",93433
761,"$184,200",93455
762,"$184,000",95547
763,"$183,700",92036
764,"$183,700",92563
765,"$183,500",92868
766,"$182,900",90250
767,"$182,900",95466
768,"$182,700",90715
769,"$182,700",92805
770,"$182,700",93060
771,"$182,500",95437
772,"$182,200",91790
773,"$182,100",95542
774,"$182,000",93514
775,"$182,000",95667
776,"$181,800",91406
777,"$181,800",92027
778,"$181,800",92801
779,"$181,600",92508
780,"$181,300",93932
781,"$180,900",94585
782,"$180,800",91405
783,"$180,600",95444
784,"$180,500",92844
785,"$180,200",91739
786,"$180,100",92264
787,"$180,000",91770
788,"$179,800",90706
789,"$179,700",90249
790,"$179,600",95012
791,"$179,200",95720
792,"$179,100",92108
793,"$178,900",91345
794,"$178,600",95651
795,"$178,200",95938
796,"$178,000",95449
797,"$177,700",90745
798,"$177,600",93711
799,"$177,600",96120
800,"$177,100",91916
801,"$176,900",92057
802,"$176,700",95560
803,"$176,200",92879
804,"$176,000",90248
805,"$175,800",95608
806,"$175,700",95462
807,"$175,600",95306
808,"$175,400",95687
809,"$175,100",92253
810,"$175,000",93432
811,"$175,000",95986
812,"$174,800",95685
813,"$174,700",90804
814,"$174,600",92707
815,"$174,500",90605
816,"$174,300",91710
817,"$174,300",95415
818,"$174,300",95635
819,"$174,100",90303
820,"$174,000",96073
821,"$173,900",95469
822,"$173,800",95430
823,"$173,800",95631
824,"$173,200",93033
825,"$173,000",90057
826,"$172,900",93015
827,"$172,700",90007
828,"$172,700",90043
829,"$172,600",90247
830,"$172,600",92596
831,"$172,600",95337
832,"$172,600",95366
833,"$172,500",91786
834,"$172,200",93265
835,"$172,000",91932
836,"$171,900",90021
837,"$171,600",95468
838,"$171,300",95620
839,"$171,300",96103
840,"$171,200",95624
841,"$171,100",92701
842,"$171,100",95942
843,"$171,000",90806
844,"$171,000",95709
845,"$170,900",95665
846,"$170,600",91335
847,"$170,300",95228
848,"$170,200",91010
849,"$170,200",93040
850,"$170,100",91606
851,"$169,900",93651
852,"$169,800",94520
853,"$169,600",95629
854,"$169,500",91605
855,"$169,500",91722
856,"$169,300",92549
857,"$169,200",90670
858,"$169,100",91911
859,"$169,000",90006
