,White Population % in 2000,zip
1268,53.3%,92354
1269,53.3%,94610
1270,53.2%,93210
1271,53.2%,91606
1272,53.2%,92407
1273,53.1%,90230
1274,52.9%,90606
1275,52.8%,92557
1276,52.8%,90605
1277,52.8%,91306
1278,52.7%,94572
1279,52.7%,94577
1280,52.6%,93040
1281,52.6%,95987
1282,52.6%,91911
1283,52.5%,91601
1284,52.5%,94585
1285,52.4%,94110
1286,52.4%,95639
1287,52.3%,95207
1288,52.3%,90602
1289,52.3%,95138
1290,52.3%,92316
1291,52.2%,94560
1292,52.2%,91345
1293,52.2%,93656
1294,52.1%,95833
1295,52.1%,94538
1296,52.1%,95076
1297,52.0%,92258
1298,52.0%,93638
1299,51.9%,92201
1300,51.9%,93705
1301,51.7%,90670
1302,51.7%,91702
1303,51.6%,94803
1304,51.6%,95330
1305,51.6%,92804
1306,51.4%,93609
1307,51.4%,95333
1308,51.3%,92301
1309,51.3%,94964
1310,51.3%,94579
1311,51.3%,91343
1312,51.2%,92840
1313,51.1%,94089
1314,51.1%,93550
1315,51.0%,91791
1316,50.9%,95388
1317,50.8%,93552
1318,50.5%,94704
1319,50.5%,91303
1320,50.4%,94703
1321,50.4%,94541
1322,50.3%,94063
1323,50.3%,93728
1324,50.1%,93625
1325,50.0%,90680
1326,50.0%,95014
1327,50.0%,90071
1328,50.0%,95836
1329,50.0%,96112
1330,49.8%,95129
1331,49.6%,91762
1332,49.6%,92606
1333,49.5%,91010
1334,49.5%,90660
1335,49.5%,92570
1336,49.4%,90039
1337,49.4%,91352
1338,49.2%,93304
1339,49.1%,93933
1340,49.0%,91342
1341,48.9%,91405
1342,48.9%,92706
1343,48.9%,95831
1344,48.9%,91780
1345,48.8%,92805
1346,48.6%,93267
1347,48.6%,91915
1348,48.6%,94121
1349,48.6%,95428
1350,48.5%,91006
1351,48.5%,92801
1352,48.5%,92405
1353,48.4%,91108
1354,48.4%,93727
1355,48.4%,93247
1356,48.3%,93203
1357,48.2%,92802
1358,48.2%,92841
