,total_pop_2000,zip
881,12581,93648
882,12464,95368
883,12452,92270
884,12449,92371
885,12443,94705
886,12347,96022
887,12232,95540
888,12170,92075
889,12138,92408
890,12073,92394
891,11999,94904
892,11880,94707
893,11700,94612
894,11640,92108
895,11500,91502
896,11492,90402
897,11455,95388
898,11454,95320
899,11380,95829
900,11347,90212
901,11259,95252
902,11252,90293
903,11206,94965
904,11184,93543
905,11180,95650
906,11176,95453
907,11160,95954
908,11145,94542
909,11008,92313
910,10966,93109
911,10934,92610
912,10891,93442
913,10819,95330
914,10780,93250
915,10730,94708
916,10656,94065
917,10545,91024
918,10506,95006
919,10477,92325
920,10465,90077
921,10366,92007
922,10245,91105
923,10218,95338
924,10170,95033
925,10141,95315
926,10140,94709
927,10138,94514
928,10137,95119
929,9966,94535
930,9944,90248
931,9919,91381
932,9885,95451
933,9882,92314
934,9852,91207
935,9807,95073
936,9798,90040
937,9792,92352
938,9775,93647
939,9747,95948
940,9745,95946
941,9734,95640
942,9727,90013
943,9657,95010
944,9643,95134
945,9549,95327
946,9528,96097
947,9474,93622
948,9460,92310
949,9415,94574
950,9391,93614
951,9386,93620
952,9303,93219
953,9270,91915
954,9196,95425
955,9160,93640
956,9059,95832
957,9019,93926
958,9019,94925
959,8852,93286
960,8807,95988
961,8761,92254
962,8742,91935
963,8720,95018
964,8686,95953
965,8674,92585
966,8657,92655
967,8631,93223
968,8567,95726
969,8562,93449
970,8562,95012
971,8520,93644
972,8510,95713
973,8487,94572
974,8485,95360
975,8476,94930
976,8441,93646
977,8397,95694
978,8392,95834
979,8346,95065
980,8313,90211
981,8311,93505
982,8303,95386
983,8214,93546
984,8149,94710
985,8137,92252
986,8108,90056
987,8058,92250
988,7942,93463
989,7916,94931
990,7901,93465
991,7868,95322
992,7855,92233
993,7843,91978
994,7813,93510
995,7771,95461
996,7679,93523
997,7601,92067
998,7515,91020
999,7486,95932
1000,7445,92624
1001,7422,93445
1002,7370,94515
1003,7334,92567
1004,7323,92320
1005,7306,92359
1006,7295,96067
1007,7157,95324
1008,7070,95202
1009,7006,95139
1010,6934,95212
1011,6902,93234
1012,6857,94027
1013,6836,93721
1014,6808,95326
1015,6775,93591
1016,6766,94939
1017,6748,92078
1018,6677,93924
1019,6595,94028
1020,6515,93428
1021,6495,93022
1022,6439,94964
1023,6435,95961
1024,6394,95005
1025,6310,95220
1026,6297,92618
1027,6271,96019
1028,6241,92276
1029,6201,95436
1030,6193,95642
1031,6186,95971
1032,6178,95626
1033,6152,93437
1034,6095,95658
1035,5975,95470
1036,5932,92861
1037,5886,95693
1038,5883,96094
1039,5864,93270
1040,5725,93656
1041,5724,93434
1042,5704,93460
1043,5703,95631
1044,5678,93267
1045,5660,95046
1046,5638,95903
1047,5616,93625
1048,5586,92657
1049,5550,93240
1050,5512,92241
1051,5502,93615
1052,5496,95316
1053,5496,95666
1054,5471,92363
1055,5441,90290
1056,5435,92315
1057,5434,93609
1058,5386,92382
1059,5251,92356
1060,5233,94571
1061,5201,90401
1062,5142,95223
1063,5092,96101
1064,5087,95231
1065,4936,92342
1066,4930,96073
1067,4893,95446
1068,4873,93501
1069,4839,95383
1070,4825,95709
1071,4802,96143
1072,4795,95912
1073,4734,95019
1074,4711,95683
1075,4630,93427
1076,4606,95685
1077,4590,93953
1078,4582,96064
1079,4564,95987
1080,4559,95064
1081,4542,92532
1082,4536,96013
1083,4507,93235
1084,4481,93225
1085,4444,92582
1086,4414,95619
1087,4412,93216
1088,4351,95665
1089,4342,93252
1090,4338,95247
1091,4311,93660
1092,4276,92548
1093,4262,92372
1094,4248,92121
1095,4247,92397
1096,4246,95222
1097,4229,96122
1098,4225,92661
1099,4215,96088
1100,4178,93256
1101,4162,95258
1102,4152,96137
1103,4145,95365
1104,4096,95623
1105,4089,95442
1106,4080,92596
1107,3997,96145
1108,3970,95379
1109,3916,95249
1110,3859,92210
