zip,Average Education Index 2000,Average Education Index 2014,Index Change,Take Public Transp % in 2000,Take Public Transp % in 2014,Change in Public Transp %,Total Population in 2000,Total Population in 2014,% Change in Total Population,White Population % in 2000,White Population % in 2014,% Change in White Population %,Outcome
94924,15.1,15.44,0.33999999999999986,0.005,0.028999999999999998,0.023999999999999997,1560.0,1434.0,-0.081,0.916,0.904,-0.013,
94703,15.1,15.57,0.47000000000000064,0.225,0.23,0.0050000000000000044,19743.0,21421.0,0.085,0.504,0.597,0.185,
95762,15.09,15.16,0.07000000000000028,0.012,0.017,0.005000000000000001,22021.0,40603.0,0.844,0.905,0.812,-0.103,
94062,15.09,15.42,0.33000000000000007,0.031,0.043,0.011999999999999997,25563.0,27014.0,0.057,0.869,0.833,-0.041,
91604,15.08,15.48,0.40000000000000036,0.015,0.027000000000000003,0.012000000000000004,26137.0,29072.0,0.112,0.856,0.816,-0.047,
90068,15.08,15.69,0.6099999999999994,0.027999999999999997,0.035,0.007000000000000006,21713.0,21943.0,0.011,0.815,0.771,-0.054,
90277,15.06,15.64,0.5800000000000001,0.012,0.019,0.006999999999999999,34174.0,34546.0,0.011,0.838,0.787,-0.061,
94973,15.06,15.94,0.879999999999999,0.018000000000000002,0.042,0.024,1434.0,1831.0,0.277,0.944,0.971,0.029,
94002,15.05,15.46,0.41000000000000014,0.037000000000000005,0.054000000000000006,0.017,25548.0,26679.0,0.044,0.752,0.64,-0.149,
91024,15.05,15.73,0.6799999999999997,0.013999999999999999,0.032,0.018000000000000002,10545.0,11060.0,0.049,0.857,0.757,-0.117,
95746,15.05,15.25,0.1999999999999993,0.001,0.013999999999999999,0.012999999999999998,20663.0,23715.0,0.148,0.908,0.824,-0.093,
92887,15.04,15.26,0.22000000000000064,0.004,0.012,0.008,20876.0,20071.0,-0.039,0.771,0.73,-0.053,
94127,15.04,15.85,0.8100000000000005,0.212,0.23199999999999998,0.01999999999999999,20624.0,19356.0,-0.061,0.622,0.583,-0.063,
94040,15.04,15.97,0.9300000000000015,0.066,0.067,0.0010000000000000009,32132.0,33958.0,0.057,0.654,0.583,-0.109,
94115,15.04,15.62,0.5800000000000001,0.33899999999999997,0.33399999999999996,-0.0050000000000000044,33115.0,34556.0,0.044,0.598,0.618,0.033,
90210,15.03,15.45,0.41999999999999993,0.027000000000000003,0.006,-0.021000000000000005,21396.0,21478.0,0.004,0.883,0.862,-0.024,
91364,15.03,15.0,-0.02999999999999936,0.013000000000000001,0.008,-0.005000000000000001,25985.0,26975.0,0.038,0.851,0.771,-0.094,
92128,15.01,15.42,0.41000000000000014,0.008,0.004,-0.004,42728.0,49264.0,0.153,0.784,0.679,-0.134,
92127,15.01,15.89,0.8800000000000008,0.016,0.012,-0.004,20032.0,41900.0,1.092,0.765,0.566,-0.26,
92663,14.99,15.46,0.47000000000000064,0.006,0.016,0.01,22123.0,22772.0,0.029,0.918,0.868,-0.054,
