zip,Median_Income_2000,Median_Income_2014,Median_Rent_2000,Median_Rent_2014,Total_Pop_2000,Total_Pop_2014,White_Pop_2000,White_Pop_2014,Outcome
92691,"$75,184","$93,713","$1,177","$1,907",46370,48129,83.6%,81.6%,
94550,"$75,026","$102,952","$1,034","$1,450",75925,48050,82.1%,82.2%,
95136,"$74,908","$87,500","$1,269","$1,721",36924,41852,56.1%,50.9%,
90067,"$74,830","$89,500","$1,605","$2,001",2524,2364,86.2%,83.0%,
92656,"$74,688","$101,292","$1,266","$1,857",41222,51370,77.6%,69.5%,
91350,"$74,616","$97,921",$873,"$1,694",40069,35826,84.3%,74.2%,
92688,"$74,173","$100,694","$1,118","$1,689",42181,45074,79.7%,78.1%,
95066,"$74,159","$108,919","$1,138","$1,670",14561,15095,89.1%,86.2%,
92869,"$74,117","$88,160",$968,"$1,604",37900,37390,71.8%,65.2%,
91307,"$74,072","$98,655","$1,358","$2,001",23622,25597,79.0%,71.6%,
91789,"$73,943","$93,509","$1,103","$1,885",45106,43369,31.7%,26.3%,
91384,"$73,933","$102,273",$864,"$1,266",22173,28949,68.8%,66.0%,
94129,"$73,571","$144,886","$1,736","$2,001",2228,3334,76.4%,84.0%,
95130,"$73,502","$98,990","$1,105","$1,380",13465,14559,66.9%,56.5%,
95630,"$73,240","$100,308",$939,"$1,416",51849,73356,77.9%,70.3%,
91737,"$73,201","$98,407",$953,"$1,583",23075,24759,71.9%,63.7%,
95051,"$73,147","$101,292","$1,293","$1,720",52972,54406,55.1%,43.1%,
95118,"$73,134","$90,984","$1,110","$1,617",31916,31579,72.5%,66.9%,
90703,"$72,906","$90,613","$1,257","$1,963",51542,50069,26.9%,23.5%,
95638,"$72,708","$91,518",$796,$979,1728,2047,90.7%,82.9%,
93065,"$72,384","$94,173","$1,069","$1,738",64785,72273,80.6%,79.0%,
94044,"$72,288","$96,719","$1,247","$1,799",38869,38416,69.1%,63.8%,
90292,"$72,215","$103,319","$1,442","$2,001",18057,21507,83.3%,80.1%,
90056,"$72,193","$76,688",$856,"$1,462",8108,8380,18.3%,12.0%,
91360,"$72,033","$91,617","$1,083","$1,811",42513,44208,84.5%,78.4%,
94587,"$71,863","$82,564","$1,091","$1,513",66457,71675,30.0%,21.2%,
92604,"$71,779","$91,180","$1,216","$1,767",27359,28425,67.8%,60.1%,
92064,"$71,385","$96,297",$909,"$1,476",47957,49079,82.9%,77.3%,
92606,"$71,155","$90,228","$1,368","$1,896",17619,22294,49.6%,44.4%,
