,Median_Household_Income_2014,Zip
1081,"$48,443",95988
1082,"$48,345",92844
1083,"$48,302",91776
1084,"$48,287",95247
1085,"$48,285",95675
1086,"$48,147",92055
1087,"$48,142",95525
1088,"$48,117",91932
1089,"$48,063",93553
1090,"$47,882",93654
1091,"$47,868",95386
1092,"$47,833",93513
1093,"$47,796",90680
1094,"$47,692",95338
1095,"$47,679",96090
1096,"$47,672",92801
1097,"$47,656",94520
1098,"$47,644",96113
1099,"$47,625",96032
1100,"$47,622",90602
1101,"$47,500",95979
1102,"$47,500",96150
1103,"$47,440",96088
1104,"$47,436",90640
1105,"$47,413",95116
1106,"$47,394",92325
1107,"$47,369",93309
1108,"$47,308",90010
1109,"$47,202",91601
1110,"$47,177",91768
1111,"$47,098",93960
1112,"$47,078",91770
1113,"$47,031",93429
1114,"$47,031",95955
1115,"$46,827",95635
1116,"$46,667",95652
1117,"$46,655",92058
1118,"$46,615",93268
1119,"$46,575",95237
1120,"$46,519",92262
1121,"$46,518",92314
1122,"$46,497",96003
1123,"$46,453",95932
1124,"$46,441",95961
1125,"$46,435",90026
1126,"$46,422",96001
1127,"$46,394",93727
1128,"$46,392",95953
1129,"$46,319",95494
1130,"$46,318",96067
1131,"$46,250",91759
1132,"$46,250",95230
1133,"$46,187",91303
1134,"$46,121",93653
1135,"$46,073",92083
1136,"$45,953",95482
1137,"$45,947",95321
1138,"$45,906",95928
1139,"$45,889",92311
1140,"$45,877",93040
1141,"$45,871",95919
1142,"$45,769",95698
1143,"$45,766",90250
1144,"$45,729",95551
1145,"$45,631",95307
1146,"$45,625",91934
1147,"$45,591",93274
1148,"$45,588",95389
1149,"$45,568",92655
1150,"$45,551",93222
1151,"$45,509",95257
1152,"$45,485",93656
1153,"$45,474",90220
1154,"$45,439",95828
1155,"$45,433",92025
1156,"$45,392",95451
1157,"$45,332",95616
1158,"$45,313",93276
1159,"$45,299",95453
1160,"$45,268",96051
1161,"$45,208",90032
1162,"$45,197",90805
1163,"$45,191",93434
1164,"$45,147",92339
1165,"$45,056",93635
1166,"$44,984",90802
1167,"$44,965",92376
1168,"$44,902",95327
1169,"$44,792",95303
1170,"$44,771",95315
1171,"$44,724",91203
1172,"$44,629",90804
1173,"$44,583",96024
1174,"$44,554",95528
1175,"$44,554",96093
1176,"$44,542",95842
1177,"$44,531",90040
1178,"$44,500",95917
1179,"$44,464",95681
1180,"$44,423",95948
1181,"$44,417",94929
1182,"$44,412",95468
1183,"$44,392",95822
1184,"$44,348",96056
1185,"$44,333",95550
1186,"$44,250",96118
1187,"$44,223",93644
1188,"$44,111",93225
1189,"$44,028",96035
1190,"$44,010",92536
1191,"$44,000",95374
1192,"$43,981",95642
1193,"$43,971",96105
1194,"$43,917",92276
1195,"$43,913",93271
1196,"$43,854",95471
1197,"$43,803",93458
1198,"$43,785",90806
1199,"$43,784",90723
1200,"$43,758",91411
1201,"$43,750",93954
1202,"$43,750",96119
1203,"$43,707",91605
1204,"$43,703",92264
1205,"$43,657",96002
1206,"$43,638",92225
1207,"$43,594",95459
1208,"$43,564",95446
1209,"$43,526",90280
1210,"$43,442",93662
1211,"$43,430",96027
1212,"$43,372",95204
1213,"$43,355",95736
1214,"$43,345",92308
1215,"$43,333",92070
1216,"$43,322",93609
1217,"$43,295",92066
1218,"$43,295",95589
1219,"$43,264",92250
1220,"$43,244",90019
1221,"$43,170",92234
1222,"$43,165",95991
1223,"$43,092",92335
1224,"$43,036",92372
1225,"$43,036",95601
1226,"$42,984",92553
1227,"$42,968",90247
1228,"$42,857",96142
1229,"$42,844",93710
1230,"$42,835",93535
1231,"$42,829",95457
1232,"$42,828",92115
1233,"$42,807",93905
1234,"$42,778",95945
1235,"$42,753",90221
1236,"$42,711",92227
1237,"$42,708",95039
1238,"$42,698",92570
1239,"$42,677",95388
1240,"$42,655",95540
1241,"$42,627",96064
1242,"$42,619",96084
1243,"$42,614",95311
1244,"$42,576",95645
