,median_cost for house_2014,zip
543,"$2,374",92780
544,"$2,374",95404
545,"$2,373",95111
546,"$2,372",94503
547,"$2,371",92592
548,"$2,371",95220
549,"$2,369",90065
550,"$2,368",92069
551,"$2,367",90504
552,"$2,366",93401
553,"$2,365",90755
554,"$2,365",91306
555,"$2,364",94510
556,"$2,364",96140
557,"$2,362",90241
558,"$2,362",95005
559,"$2,359",95616
560,"$2,359",95674
561,"$2,358",94579
562,"$2,354",90008
563,"$2,352",95110
564,"$2,352",95747
565,"$2,349",91724
566,"$2,348",93424
567,"$2,348",96146
568,"$2,347",95650
569,"$2,347",95864
570,"$2,345",94546
571,"$2,344",91780
572,"$2,344",94607
573,"$2,341",95303
574,"$2,340",91343
575,"$2,340",94063
576,"$2,337",92084
577,"$2,336",93004
578,"$2,336",95682
579,"$2,330",92832
580,"$2,329",91754
581,"$2,327",90006
582,"$2,325",94702
583,"$2,324",93238
584,"$2,324",94559
585,"$2,323",95690
586,"$2,321",93314
587,"$2,318",95977
588,"$2,315",92562
589,"$2,315",94803
590,"$2,314",90631
591,"$2,313",90602
592,"$2,311",91750
593,"$2,309",93940
594,"$2,308",90603
595,"$2,307",90638
596,"$2,306",91406
597,"$2,306",92120
598,"$2,306",92333
599,"$2,301",95366
600,"$2,300",90713
601,"$2,300",91701
602,"$2,300",95563
603,"$2,300",95614
604,"$2,299",91405
605,"$2,297",95757
606,"$2,291",92123
607,"$2,291",95492
608,"$2,289",92117
609,"$2,289",95819
610,"$2,288",95641
611,"$2,286",95560
612,"$2,286",95595
613,"$2,285",91803
614,"$2,285",95441
615,"$2,284",92706
616,"$2,283",95742
617,"$2,282",90020
618,"$2,282",90710
619,"$2,282",94608
620,"$2,281",92596
621,"$2,281",94508
622,"$2,281",95010
623,"$2,279",93601
624,"$2,277",95076
625,"$2,276",95497
626,"$2,275",92110
627,"$2,273",90250
628,"$2,269",96120
629,"$2,264",92806
630,"$2,261",90601
631,"$2,261",94577
632,"$2,260",93036
633,"$2,260",94541
634,"$2,259",95219
635,"$2,257",92336
636,"$2,254",90014
637,"$2,254",90620
638,"$2,252",91978
639,"$2,252",94545
640,"$2,251",91606
641,"$2,250",92678
642,"$2,249",94553
643,"$2,247",92683
644,"$2,247",95023
645,"$2,246",95688
646,"$2,241",91755
647,"$2,239",93907
648,"$2,239",93933
649,"$2,239",94605
650,"$2,237",91321
651,"$2,236",93001
652,"$2,234",91748
653,"$2,232",95661
654,"$2,230",93428
655,"$2,229",95818
656,"$2,223",92059
657,"$2,223",95409
658,"$2,223",95655
659,"$2,222",95814
660,"$2,221",92081
661,"$2,218",91723
662,"$2,217",93003
663,"$2,216",95468
664,"$2,215",92071
665,"$2,215",95602
666,"$2,214",90717
667,"$2,214",92617
668,"$2,214",95403
669,"$2,211",91345
670,"$2,210",90043
671,"$2,210",95446
672,"$2,208",92253
673,"$2,205",92104
674,"$2,205",92563
675,"$2,203",92126
676,"$2,201",91710
677,"$2,201",94931
678,"$2,200",92532
679,"$2,198",95019
680,"$2,196",91962
681,"$2,195",94564
682,"$2,194",92116
683,"$2,192",92026
684,"$2,191",91335
685,"$2,191",93427
686,"$2,189",90057
687,"$2,189",95941
688,"$2,188",96124
689,"$2,187",92111
690,"$2,186",94089
691,"$2,185",95421
692,"$2,184",96106
693,"$2,182",90242
694,"$2,178",95122
695,"$2,176",91740
696,"$2,176",93030
697,"$2,175",91745
698,"$2,175",91801
699,"$2,174",92882
700,"$2,169",92061
701,"$2,168",91351
702,"$2,168",92057
703,"$2,167",94525
704,"$2,166",95816
705,"$2,164",92805
706,"$2,164",93442
707,"$2,164",95722
708,"$2,164",96128
709,"$2,163",94580
710,"$2,163",95664
711,"$2,162",94567
