,Median_cost_for_house_2000,zip
1086,"$1,109",95461
1087,"$1,109",95543
1088,"$1,108",91906
1089,"$1,107",93301
1090,"$1,107",95565
1091,"$1,107",95621
1092,"$1,106",95674
1093,"$1,105",95826
1094,"$1,104",96001
1095,"$1,102",95223
1096,"$1,101",95626
1097,"$1,100",92307
1098,"$1,098",93245
1099,"$1,098",93517
1100,"$1,096",93309
1101,"$1,095",95321
1102,"$1,094",96024
1103,"$1,093",92243
1104,"$1,093",95207
1105,"$1,093",95324
1106,"$1,092",92317
1107,"$1,092",95956
1108,"$1,091",93292
1109,"$1,089",95823
1110,"$1,086",96003
1111,"$1,085",95941
1112,"$1,084",95231
1113,"$1,084",95636
1114,"$1,083",95227
1115,"$1,083",95569
1116,"$1,082",95827
1117,"$1,080",93722
1118,"$1,078",95389
1119,"$1,078",95437
1120,"$1,078",95979
1121,"$1,077",92382
1122,"$1,076",90002
1123,"$1,075",93244
1124,"$1,075",95471
1125,"$1,075",95903
1126,"$1,073",95206
1127,"$1,072",92392
1128,"$1,071",95453
1129,"$1,069",93954
1130,"$1,069",95307
1131,"$1,065",95962
1132,"$1,064",92325
1133,"$1,063",92066
1134,"$1,063",93561
1135,"$1,063",95350
1136,"$1,063",96117
1137,"$1,061",91950
1138,"$1,061",93710
1139,"$1,060",90222
1140,"$1,060",93445
1141,"$1,060",95249
1142,"$1,059",95960
1143,"$1,059",95971
1144,"$1,056",95666
1145,"$1,053",92553
1146,"$1,053",93451
1147,"$1,050",92342
1148,"$1,050",93637
1149,"$1,050",95317
1150,"$1,050",95348
1151,"$1,049",92376
1152,"$1,048",92282
1153,"$1,047",92201
1154,"$1,047",93260
1155,"$1,046",92335
1156,"$1,045",92585
1157,"$1,045",95221
1158,"$1,044",93308
1159,"$1,042",92102
1160,"$1,042",95426
1161,"$1,042",95720
1162,"$1,042",96063
1163,"$1,041",92571
1164,"$1,041",93550
1165,"$1,041",95210
1166,"$1,040",92324
1167,"$1,040",95322
1168,"$1,039",93657
1169,"$1,039",94621
1170,"$1,038",95340
1171,"$1,036",95913
1172,"$1,036",96125
1173,"$1,032",92227
1174,"$1,032",95503
1175,"$1,031",92501
1176,"$1,031",92582
1177,"$1,031",95466
1178,"$1,031",95673
1179,"$1,030",93704
1180,"$1,029",96002
1181,"$1,024",92544
1182,"$1,024",95519
1183,"$1,023",92314
1184,"$1,021",95717
1185,"$1,020",92203
1186,"$1,020",95686
1187,"$1,019",93230
1188,"$1,018",92545
1189,"$1,018",95358
1190,"$1,016",93560
1191,"$1,015",95380
1192,"$1,014",92231
1193,"$1,013",92408
1194,"$1,013",93727
1195,"$1,012",92105
1196,"$1,012",92223
1197,"$1,012",92225
1198,"$1,012",95360
1199,"$1,011",95338
1200,"$1,009",95817
1201,"$1,008",95822
1202,"$1,008",96033
1203,"$1,007",95372
1204,"$1,006",93306
1205,"$1,006",93630
1206,"$1,006",95301
1207,"$1,005",95982
1208,"$1,004",95490
1209,"$1,003",93221
1210,"$1,002",96088
1211,"$1,000",92316
1212,"$1,000",93612
1213,"$1,000",96067
1214,$999,93535
1215,$999,95316
1216,$998,95842
1217,$997,93543
1218,$994,93461
1219,$993,95970
1220,$993,95991
1221,$993,96022
1222,$993,96130
1223,$992,95528
1224,$991,95954
1225,$990,93602
1226,$990,93625
1227,$990,95327
1228,$988,95311
1229,$988,95374
1230,$988,95629
1231,$987,92250
1232,$986,92308
1233,$985,91905
1234,$983,95645
1235,$980,92239
1236,$980,95676
1237,$979,93675
1238,$978,95386
1239,$977,92345
1240,$977,95521
1241,$976,92274
1242,$975,93226
1243,$975,96051
1244,$974,93662
1245,$973,95531
1246,$973,95912
1247,$972,95553
1248,$971,95354
1249,$971,95540
1250,$967,90013
1251,$967,95254
1252,$967,96137
1253,$966,93434
1254,$966,95554
