,Median_Rent_2000,zip
696,$739,91744
697,$739,91775
698,$739,93222
699,$739,93405
700,$738,92040
701,$738,95446
702,$737,93591
703,$736,92054
704,$736,95383
705,$735,92260
706,$735,95425
707,$734,90039
708,$734,91977
709,$734,95959
710,$733,92084
711,$733,94515
712,$732,94704
713,$731,91607
714,$731,94133
715,$731,95227
716,$730,90404
717,$730,93030
718,$730,95684
719,$729,93420
720,$728,91304
721,$728,92567
722,$728,95833
723,$727,90241
724,$727,91801
725,$727,92336
726,$726,91723
727,$726,92571
728,$726,95337
729,$726,95685
730,$725,90242
731,$725,92060
732,$725,92341
733,$725,93453
734,$725,93461
735,$725,95364
736,$725,95606
737,$725,95720
738,$725,96141
739,$724,91770
740,$723,91303
741,$723,91706
742,$723,91754
743,$723,91755
744,$723,93512
745,$722,94804
746,$722,95828
747,$720,90401
748,$720,90723
749,$720,95209
750,$720,95462
751,$719,91941
752,$719,95689
753,$718,90716
754,$718,92065
755,$718,92382
756,$718,94703
757,$717,92028
758,$717,92114
759,$717,93440
760,$717,95252
761,$717,95819
762,$715,93401
763,$715,95336
764,$715,95636
765,$714,90305
766,$713,92504
767,$713,95254
768,$713,95726
769,$712,90807
770,$711,91945
771,$711,95620
772,$710,92103
773,$710,95610
774,$709,91040
775,$709,93430
776,$709,95627
777,$708,91906
778,$707,92505
779,$706,91911
780,$706,93454
781,$706,93901
782,$706,94603
783,$705,91104
784,$705,93546
785,$705,94571
786,$705,95666
787,$704,90706
788,$704,91803
789,$704,95631
790,$702,91306
791,$702,95246
792,$701,93422
793,$701,95356
794,$700,90247
795,$700,90660
796,$700,91335
797,$700,91732
798,$700,92066
799,$699,92234
800,$699,95330
801,$698,90302
802,$698,92325
803,$697,90640
804,$697,91786
805,$697,92373
806,$697,93442
807,$697,94525
808,$697,94609
809,$697,95219
810,$696,95368
811,$696,95667
812,$695,93452
813,$695,95776
814,$694,90501
815,$694,90814
816,$694,92021
817,$693,91910
818,$692,91935
819,$692,95603
820,$692,95842
821,$691,96120
822,$690,91205
823,$690,92025
824,$689,91932
825,$688,93535
826,$688,96143
827,$686,95826
828,$685,90731
829,$685,94702
830,$685,95012
831,$685,95039
832,$685,95470
833,$684,90041
834,$684,92553
835,$684,95367
836,$683,95619
837,$682,90248
838,$682,93060
839,$682,95640
840,$681,92036
841,$681,95834
842,$680,93711
843,$679,91406
844,$679,93243
845,$679,95524
846,$678,90602
847,$677,91204
848,$677,95461
849,$676,91502
850,$675,92115
851,$675,92407
852,$675,92701
853,$675,95421
854,$675,95471
855,$675,95613
856,$675,95623
857,$675,95675
858,$675,96126
859,$672,91340
860,$672,92374
861,$672,92503
862,$671,92020
863,$671,93445
864,$671,95321
865,$671,95601
866,$671,95954
867,$671,95975
868,$670,92210
869,$670,92317
870,$669,91401
871,$669,93932
872,$669,95019
873,$669,95570
874,$669,96125
875,$668,91733
876,$668,92354
877,$667,90301
878,$667,91411
879,$667,95715
880,$666,91601
881,$666,91763
882,$666,92536
883,$666,95673
884,$665,91762
885,$665,92586
886,$665,94590
887,$665,94606
888,$665,95355
889,$664,95694
890,$663,91042
891,$663,95567
892,$662,90201
893,$661,91766
894,$661,92316
895,$660,93604
896,$660,95670
897,$659,91331
898,$659,93926
899,$659,95255
900,$658,93436
901,$658,96150
902,$657,92264
903,$657,92270
904,$657,94108
905,$657,95382
906,$656,91352
907,$656,95903
908,$655,90804
909,$655,95220
910,$654,95228
911,$654,95648
912,$654,95669
913,$653,95437
914,$651,91731
915,$651,93667
916,$651,93905
917,$651,95945
918,$650,92509
919,$650,93446
920,$650,95465
921,$649,93536
922,$647,90027
923,$647,93529
924,$647,95634
925,$647,95681
926,$646,92320
927,$646,93458
928,$646,93927
929,$646,94511
930,$645,95374
931,$644,91103
932,$644,91767
933,$644,93644
934,$644,94801
935,$643,92314
936,$643,95608
937,$642,90019
938,$642,90047
939,$642,90303
940,$642,90710
941,$642,94971
942,$642,96033
943,$641,91606
944,$641,95825
945,$640,90249
946,$640,90250
947,$640,93930
948,$640,96148
949,$639,95328
950,$639,95962
951,$638,92082
952,$638,95469
953,$638,95660
954,$637,92539
955,$636,90805
956,$636,92276
957,$634,91343
958,$634,92116
959,$634,94710
960,$634,95456
961,$633,92507
962,$633,93208
963,$632,92545
964,$632,92549
965,$632,93225
966,$632,95324
967,$632,95366
968,$632,95457
969,$632,95642
970,$632,95695
971,$632,95838
972,$631,92345
973,$631,95451
974,$630,94601
975,$629,90065
976,$629,90262
977,$629,93271
978,$628,90016
979,$628,92333
980,$628,95426
981,$628,95832
982,$628,95936
983,$627,94103
984,$627,95210
985,$627,95335
986,$627,95928
987,$626,90042
988,$626,95223
989,$625,91405
990,$625,94621
991,$625,95419
992,$625,95559
993,$625,95637
994,$625,95841
995,$625,96128
996,$624,90020
997,$623,90008
998,$622,92335
999,$622,95358
1000,$621,92104
1001,$621,92530
1002,$621,92582
1003,$620,90280
1004,$620,93523
1005,$619,92324
1006,$619,92376
1007,$619,93251
1008,$619,95589
1009,$618,95415
1010,$618,95659
1011,$617,95357
