,house_median_value_2014,zip
1029,"$262,900",95417
1030,"$262,900",95662
1031,"$262,600",91768
1032,"$262,300",91767
1033,"$262,300",94601
1034,"$261,900",94520
1035,"$261,400",95323
1036,"$261,200",96093
1037,"$261,100",96017
1038,"$260,700",95540
1039,"$260,100",92173
1040,"$260,100",95835
1041,"$260,000",95691
1042,"$259,800",95361
1043,"$259,500",92203
1044,"$259,400",91916
1045,"$259,200",93636
1046,"$258,700",95233
1047,"$257,500",92397
1048,"$257,500",92584
1049,"$257,400",93287
1050,"$257,400",93906
1051,"$257,400",95776
1052,"$256,900",95687
1053,"$256,800",92385
1054,"$255,300",93611
1055,"$255,200",95369
1056,"$255,000",91763
1057,"$255,000",93452
1058,"$255,000",95514
1059,"$254,800",92549
1060,"$253,900",90723
1061,"$253,800",90061
1062,"$253,300",95910
1063,"$252,600",91762
1064,"$252,500",95634
1065,"$252,400",95912
1066,"$251,900",95337
1067,"$251,700",93445
1068,"$249,200",94561
1069,"$249,100",95039
1070,"$248,500",93436
1071,"$248,200",92377
1072,"$247,800",95379
1073,"$247,700",92374
1074,"$247,600",96001
1075,"$247,400",95551
1076,"$247,300",95501
1077,"$247,200",93551
1078,"$246,900",92532
1079,"$246,800",90716
1080,"$246,800",93644
1081,"$246,400",96041
1082,"$245,900",95684
1083,"$245,300",95821
1084,"$245,200",96137
1085,"$244,400",95012
1086,"$244,200",95552
1087,"$242,600",95254
1088,"$242,400",96121
1089,"$242,300",93311
1090,"$242,000",92264
1091,"$241,800",90001
1092,"$241,700",93605
1093,"$241,700",95715
1094,"$241,700",96068
1095,"$241,100",92113
1096,"$240,600",93312
1097,"$240,100",95758
1098,"$240,000",95977
1099,"$239,700",95665
1100,"$239,500",90221
1101,"$239,200",95668
1102,"$238,900",95639
1103,"$238,500",96111
1104,"$238,100",95382
1105,"$237,300",92346
1106,"$237,300",95338
1107,"$237,200",95573
1108,"$237,000",92555
1109,"$237,000",94806
1110,"$236,500",92313
1111,"$235,500",92337
1112,"$235,400",96051
1113,"$233,900",95320
1114,"$233,800",95817
1115,"$233,200",93631
1116,"$232,900",93625
1117,"$232,500",91764
1118,"$232,500",95245
1119,"$232,400",95310
1120,"$232,100",92505
1121,"$232,100",95317
1122,"$231,700",95212
1123,"$231,000",92503
1124,"$231,000",95376
1125,"$230,500",92507
1126,"$230,200",92595
1127,"$230,000",93238
1128,"$230,000",95568
1129,"$229,900",95246
1130,"$229,700",90222
1131,"$229,400",92339
1132,"$229,200",93226
1133,"$228,900",93244
1134,"$228,600",90003
1135,"$228,300",95971
1136,"$228,100",93531
1137,"$228,000",94804
1138,"$227,700",95372
1139,"$227,500",95356
1140,"$227,400",95726
1141,"$226,900",92504
1142,"$226,900",95993
1143,"$226,600",96028
1144,"$226,200",96022
1145,"$225,500",95252
1146,"$225,400",96016
1147,"$225,100",92399
1148,"$225,000",93545
1149,"$225,000",95565
1150,"$225,000",95720
1151,"$225,000",96034
1152,"$225,000",96050
1153,"$224,300",95316
1154,"$224,200",96003
1155,"$224,100",90059
1156,"$224,100",95963
1157,"$224,000",95228
1158,"$223,700",95567
1159,"$223,600",92314
1160,"$223,400",95490
1161,"$223,300",96020
1162,"$222,400",95666
1163,"$221,100",90220
1164,"$220,500",95822
1165,"$220,400",93602
1166,"$220,000",93512
1167,"$220,000",95224
1168,"$219,400",92518
1169,"$219,300",95640
1170,"$219,200",95670
1171,"$218,800",90002
1172,"$218,800",95428
1173,"$218,600",93905
1174,"$218,300",95326
1175,"$217,600",93458
1176,"$217,500",92268
1177,"$217,400",94565
1178,"$217,100",95610
1179,"$216,800",95249
1180,"$216,800",96114
1181,"$216,700",94571
1182,"$216,000",95632
1183,"$215,900",92359
1184,"$215,900",93609
1185,"$215,600",94585
1186,"$215,500",96008
1187,"$215,100",93536
1188,"$214,300",92344
1189,"$214,300",95329
1190,"$214,300",95834
1191,"$214,200",92391
1192,"$214,100",95935
1193,"$213,500",93614
1194,"$213,400",94533
1195,"$213,100",92509
1196,"$213,000",92567
1197,"$213,000",95562
1198,"$212,500",96027
1199,"$212,200",93513
1200,"$212,000",95843
1201,"$211,800",94509
1202,"$211,400",93561
1203,"$211,300",93291
1204,"$211,200",92223
1205,"$211,000",95555
1206,"$211,000",95934
1207,"$210,800",92382
1208,"$210,500",96088
1209,"$210,200",93260
1210,"$210,200",96002
1211,"$210,000",95526
1212,"$209,900",95825
1213,"$209,900",95988
1214,"$209,800",93225
1215,"$209,300",95357
1216,"$209,100",96069
1217,"$208,300",96087
1218,"$206,800",94603
1219,"$206,500",94567
1220,"$206,300",95240
1221,"$206,300",95936
1222,"$206,000",95556
1223,"$205,700",93960
1224,"$205,600",96011
1225,"$205,500",93040
1226,"$205,500",95627
1227,"$205,400",96047
1228,"$205,200",96009
1229,"$205,100",93926
1230,"$205,000",95345
1231,"$204,800",95969
1232,"$203,900",96092
1233,"$203,800",92557
1234,"$203,700",95355
