,Median Income 2000,zip
791,"$43,864",93543
792,"$43,864",95237
793,"$43,859",96148
794,"$43,846",94559
795,"$43,813",95337
796,"$43,750",91501
797,"$43,750",92060
798,"$43,750",95646
799,"$43,649",94806
800,"$43,640",94703
801,"$43,557",90241
802,"$43,542",94021
803,"$43,533",95407
804,"$43,487",92561
805,"$43,444",94109
806,"$43,405",96114
807,"$43,396",95247
808,"$43,393",96087
809,"$43,377",93960
810,"$43,299",92260
811,"$43,295",95460
812,"$43,287",95589
813,"$43,281",96008
814,"$43,256",93722
815,"$43,237",95695
816,"$43,200",95461
817,"$43,166",93060
818,"$43,125",90248
819,"$43,040",93430
820,"$43,023",93001
821,"$43,015",95466
822,"$42,970",91910
823,"$42,970",92154
824,"$42,956",90242
825,"$42,955",95669
826,"$42,910",95827
827,"$42,903",95982
828,"$42,890",95834
829,"$42,885",93452
830,"$42,885",93602
831,"$42,882",91042
832,"$42,872",92843
833,"$42,778",92268
834,"$42,774",92111
835,"$42,692",96124
836,"$42,660",92107
837,"$42,626",92108
838,"$42,622",93292
839,"$42,584",95621
840,"$42,562",95826
841,"$42,543",95681
842,"$42,500",95547
843,"$42,500",95715
844,"$42,500",95936
845,"$42,467",95664
846,"$42,467",95918
847,"$42,466",95228
848,"$42,460",93635
849,"$42,443",91942
850,"$42,309",93446
851,"$42,299",90710
852,"$42,231",93933
853,"$42,218",92655
854,"$42,218",92844
855,"$42,182",90717
856,"$42,177",93901
857,"$42,167",93664
858,"$42,143",95676
859,"$42,117",90501
860,"$42,110",95616
861,"$42,108",91702
862,"$42,100",91723
863,"$42,067",90740
864,"$42,045",93426
865,"$42,045",95456
866,"$42,029",93560
867,"$41,952",93436
868,"$41,910",95640
869,"$41,887",92804
870,"$41,876",91766
871,"$41,875",95960
872,"$41,815",91104
873,"$41,808",90814
874,"$41,786",91343
875,"$41,756",92505
876,"$41,728",92307
877,"$41,716",90621
878,"$41,714",93041
879,"$41,674",91206
880,"$41,621",91706
881,"$41,580",91020
882,"$41,578",90680
883,"$41,573",94804
884,"$41,538",93926
885,"$41,500",95637
886,"$41,491",90660
887,"$41,423",92345
888,"$41,408",92802
889,"$41,404",90260
890,"$41,386",93955
891,"$41,341",93651
892,"$41,322",91352
893,"$41,313",94305
894,"$41,304",93920
895,"$41,303",91803
896,"$41,295",91755
897,"$41,250",93628
898,"$41,200",95012
899,"$41,111",95973
900,"$41,098",93040
901,"$41,014",95112
902,"$41,004",95634
903,"$41,002",94520
904,"$40,994",95465
905,"$40,990",94133
906,"$40,956",95321
907,"$40,941",95324
908,"$40,938",92328
909,"$40,938",95651
910,"$40,901",93117
911,"$40,833",95923
912,"$40,820",92359
913,"$40,800",93516
914,"$40,792",91335
915,"$40,695",90602
916,"$40,674",92703
917,"$40,642",92110
918,"$40,583",92504
919,"$40,568",95316
920,"$40,565",91607
921,"$40,526",95636
922,"$40,505",95315
923,"$40,491",95410
924,"$40,469",95043
925,"$40,459",95627
926,"$40,441",96120
927,"$40,417",95970
928,"$40,398",91340
929,"$40,284",95230
930,"$40,267",91754
931,"$40,256",93265
932,"$40,244",95842
933,"$40,238",95962
934,"$40,230",91763
935,"$40,192",95303
936,"$40,170",93626
